candidate,office,district,party,county,precinct,total votes,
Lou Barletta,U.S. Senate,,REP,Cambria,Patton Boro-First Wd,167,
Neal Gale,U.S. Senate,,GR,Cambria,Patton Boro-First Wd,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Patton Boro-First Wd,1,
Write In,U.S. Senate,,,Cambria,Patton Boro-First Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Patton Boro-First Wd,145,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Patton Boro-First Wd,176,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Patton Boro-First Wd,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Patton Boro-First Wd,0,
Write In,Governor & Lieutenant Governor,,,Cambria,Patton Boro-First Wd,1,
Brent Ottaway,US House,13,DEM,Cambria,Patton Boro-First Wd,,
John Joyce,US House,13,REP,Cambria,Patton Boro-First Wd,,
Write In,US House,13,,Cambria,Patton Boro-First Wd,,
Susan Boser,US House,15,DEM,Cambria,Patton Boro-First Wd,140,
Glenn Gt Thompson,US House,15,REP,Cambria,Patton Boro-First Wd,172,
Write In,US House,15,,Cambria,Patton Boro-First Wd,0,
Bryan Barbin,State House,71,DEM,Cambria,Patton Boro-First Wd,,
Jim Rigby,State House,71,REP,Cambria,Patton Boro-First Wd,,
Write In,State House,71,,Cambria,Patton Boro-First Wd,,
Frank Burns,State House,72,DEM,Cambria,Patton Boro-First Wd,160,
Jerry Carnicella,State House,72,REP,Cambria,Patton Boro-First Wd,158,
Write In,State House,72,,Cambria,Patton Boro-First Wd,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Patton Boro-First Wd,,
Write In,State House,73,,Cambria,Patton Boro-First Wd,,
Bob Casey,U.S. Senate,,DEM,Cambria,Patton Boro-Second Wd,161,
Lou Barletta,U.S. Senate,,REP,Cambria,Patton Boro-Second Wd,148,
Neal Gale,U.S. Senate,,GR,Cambria,Patton Boro-Second Wd,5,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Patton Boro-Second Wd,5,
Write In,U.S. Senate,,,Cambria,Patton Boro-Second Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Patton Boro-Second Wd,155,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Patton Boro-Second Wd,154,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Patton Boro-Second Wd,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Patton Boro-Second Wd,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Patton Boro-Second Wd,0,
Brent Ottaway,US House,13,DEM,Cambria,Patton Boro-Second Wd,,
John Joyce,US House,13,REP,Cambria,Patton Boro-Second Wd,,
Write In,US House,13,,Cambria,Patton Boro-Second Wd,,
Susan Boser,US House,15,DEM,Cambria,Patton Boro-Second Wd,145,
Glenn Gt Thompson,US House,15,REP,Cambria,Patton Boro-Second Wd,164,
Write In,US House,15,,Cambria,Patton Boro-Second Wd,1,
Bryan Barbin,State House,71,DEM,Cambria,Patton Boro-Second Wd,,
Jim Rigby,State House,71,REP,Cambria,Patton Boro-Second Wd,,
Write In,State House,71,,Cambria,Patton Boro-Second Wd,,
Frank Burns,State House,72,DEM,Cambria,Patton Boro-Second Wd,181,
Jerry Carnicella,State House,72,REP,Cambria,Patton Boro-Second Wd,133,
Write In,State House,72,,Cambria,Patton Boro-Second Wd,2,
Tommy Sankey,State House,73,DEM/REP,Cambria,Patton Boro-Second Wd,,
Write In,State House,73,,Cambria,Patton Boro-Second Wd,,
Bob Casey,U.S. Senate,,DEM,Cambria,Portage Boro First Wd,97,
Lou Barletta,U.S. Senate,,REP,Cambria,Portage Boro First Wd,94,
Neal Gale,U.S. Senate,,GR,Cambria,Portage Boro First Wd,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Portage Boro First Wd,6,
Write In,U.S. Senate,,,Cambria,Portage Boro First Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Portage Boro First Wd,94,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Portage Boro First Wd,98,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Portage Boro First Wd,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Portage Boro First Wd,5,
Write In,Governor & Lieutenant Governor,,,Cambria,Portage Boro First Wd,0,
Brent Ottaway,US House,13,DEM,Cambria,Portage Boro First Wd,,
John Joyce,US House,13,REP,Cambria,Portage Boro First Wd,,
Write In,US House,13,,Cambria,Portage Boro First Wd,,
Susan Boser,US House,15,DEM,Cambria,Portage Boro First Wd,83,
Glenn Gt Thompson,US House,15,REP,Cambria,Portage Boro First Wd,112,
Write In,US House,15,,Cambria,Portage Boro First Wd,0,
Bryan Barbin,State House,71,DEM,Cambria,Portage Boro First Wd,,
Jim Rigby,State House,71,REP,Cambria,Portage Boro First Wd,,
Write In,State House,71,,Cambria,Portage Boro First Wd,,
Frank Burns,State House,72,DEM,Cambria,Portage Boro First Wd,127,
Jerry Carnicella,State House,72,REP,Cambria,Portage Boro First Wd,72,
Write In,State House,72,,Cambria,Portage Boro First Wd,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Portage Boro First Wd,,
Write In,State House,73,,Cambria,Portage Boro First Wd,,
Bob Casey,U.S. Senate,,DEM,Cambria,Portage Boro Second Wd,136,
Lou Barletta,U.S. Senate,,REP,Cambria,Portage Boro Second Wd,141,
Neal Gale,U.S. Senate,,GR,Cambria,Portage Boro Second Wd,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Portage Boro Second Wd,0,
Write In,U.S. Senate,,,Cambria,Portage Boro Second Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Portage Boro Second Wd,155,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Portage Boro Second Wd,154,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Portage Boro Second Wd,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Portage Boro Second Wd,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Portage Boro Second Wd,0,
Brent Ottaway,US House,13,DEM,Cambria,Portage Boro Second Wd,,
John Joyce,US House,13,REP,Cambria,Portage Boro Second Wd,,
Write In,US House,13,,Cambria,Portage Boro Second Wd,,
Susan Boser,US House,15,DEM,Cambria,Portage Boro Second Wd,108,
Glenn Gt Thompson,US House,15,REP,Cambria,Portage Boro Second Wd,173,
Write In,US House,15,,Cambria,Portage Boro Second Wd,0,
Bryan Barbin,State House,71,DEM,Cambria,Portage Boro Second Wd,,
Jim Rigby,State House,71,REP,Cambria,Portage Boro Second Wd,,
Write In,State House,71,,Cambria,Portage Boro Second Wd,,
Frank Burns,State House,72,DEM,Cambria,Portage Boro Second Wd,178,
Jerry Carnicella,State House,72,REP,Cambria,Portage Boro Second Wd,105,
Write In,State House,72,,Cambria,Portage Boro Second Wd,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Portage Boro Second Wd,,
Write In,State House,73,,Cambria,Portage Boro Second Wd,,
Bob Casey,U.S. Senate,,DEM,Cambria,Portage Boro Third Wd,106,
Lou Barletta,U.S. Senate,,REP,Cambria,Portage Boro Third Wd,167,
Neal Gale,U.S. Senate,,GR,Cambria,Portage Boro Third Wd,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Portage Boro Third Wd,3,
Write In,U.S. Senate,,,Cambria,Portage Boro Third Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Portage Boro Third Wd,120,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Portage Boro Third Wd,159,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Portage Boro Third Wd,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Portage Boro Third Wd,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Portage Boro Third Wd,0,
Brent Ottaway,US House,13,DEM,Cambria,Portage Boro Third Wd,,
John Joyce,US House,13,REP,Cambria,Portage Boro Third Wd,,
Write In,US House,13,,Cambria,Portage Boro Third Wd,,
Susan Boser,US House,15,DEM,Cambria,Portage Boro Third Wd,97,
Glenn Gt Thompson,US House,15,REP,Cambria,Portage Boro Third Wd,178,
Write In,US House,15,,Cambria,Portage Boro Third Wd,0,
Bryan Barbin,State House,71,DEM,Cambria,Portage Boro Third Wd,,
Jim Rigby,State House,71,REP,Cambria,Portage Boro Third Wd,,
Write In,State House,71,,Cambria,Portage Boro Third Wd,,
Frank Burns,State House,72,DEM,Cambria,Portage Boro Third Wd,149,
Jerry Carnicella,State House,72,REP,Cambria,Portage Boro Third Wd,129,
Write In,State House,72,,Cambria,Portage Boro Third Wd,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Portage Boro Third Wd,,
Write In,State House,73,,Cambria,Portage Boro Third Wd,,
Bob Casey,U.S. Senate,,DEM,Cambria,Portage Twp Center,255,
Lou Barletta,U.S. Senate,,REP,Cambria,Portage Twp Center,348,
Neal Gale,U.S. Senate,,GR,Cambria,Portage Twp Center,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Portage Twp Center,4,
Write In,U.S. Senate,,,Cambria,Portage Twp Center,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Portage Twp Center,241,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Portage Twp Center,361,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Portage Twp Center,6,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Portage Twp Center,9,
Write In,Governor & Lieutenant Governor,,,Cambria,Portage Twp Center,0,
Brent Ottaway,US House,13,DEM,Cambria,Portage Twp Center,,
John Joyce,US House,13,REP,Cambria,Portage Twp Center,,
Write In,US House,13,,Cambria,Portage Twp Center,,
Susan Boser,US House,15,DEM,Cambria,Portage Twp Center,215,
Glenn Gt Thompson,US House,15,REP,Cambria,Portage Twp Center,389,
Write In,US House,15,,Cambria,Portage Twp Center,0,
Bryan Barbin,State House,71,DEM,Cambria,Portage Twp Center,,
Jim Rigby,State House,71,REP,Cambria,Portage Twp Center,,
Write In,State House,71,,Cambria,Portage Twp Center,,
Frank Burns,State House,72,DEM,Cambria,Portage Twp Center,324,
Jerry Carnicella,State House,72,REP,Cambria,Portage Twp Center,293,
Write In,State House,72,,Cambria,Portage Twp Center,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Portage Twp Center,,
Write In,State House,73,,Cambria,Portage Twp Center,,
Bob Casey,U.S. Senate,,DEM,Cambria,Portage Twp Southwest,282,
Lou Barletta,U.S. Senate,,REP,Cambria,Portage Twp Southwest,385,
Neal Gale,U.S. Senate,,GR,Cambria,Portage Twp Southwest,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Portage Twp Southwest,5,
Write In,U.S. Senate,,,Cambria,Portage Twp Southwest,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Portage Twp Southwest,295,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Portage Twp Southwest,376,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Portage Twp Southwest,5,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Portage Twp Southwest,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Portage Twp Southwest,0,
Brent Ottaway,US House,13,DEM,Cambria,Portage Twp Southwest,,
John Joyce,US House,13,REP,Cambria,Portage Twp Southwest,,
Write In,US House,13,,Cambria,Portage Twp Southwest,,
Susan Boser,US House,15,DEM,Cambria,Portage Twp Southwest,228,
Glenn Gt Thompson,US House,15,REP,Cambria,Portage Twp Southwest,445,
Write In,US House,15,,Cambria,Portage Twp Southwest,0,
Bryan Barbin,State House,71,DEM,Cambria,Portage Twp Southwest,,
Jim Rigby,State House,71,REP,Cambria,Portage Twp Southwest,,
Write In,State House,71,,Cambria,Portage Twp Southwest,,
Frank Burns,State House,72,DEM,Cambria,Portage Twp Southwest,354,
Jerry Carnicella,State House,72,REP,Cambria,Portage Twp Southwest,325,
Write In,State House,72,,Cambria,Portage Twp Southwest,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Portage Twp Southwest,,
Write In,State House,73,,Cambria,Portage Twp Southwest,,
Bob Casey,U.S. Senate,,DEM,Cambria,Reade Twp,129,
Lou Barletta,U.S. Senate,,REP,Cambria,Reade Twp,370,
Neal Gale,U.S. Senate,,GR,Cambria,Reade Twp,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Reade Twp,4,
Write In,U.S. Senate,,,Cambria,Reade Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Reade Twp,114,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Reade Twp,386,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Reade Twp,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Reade Twp,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Reade Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Reade Twp,,
John Joyce,US House,13,REP,Cambria,Reade Twp,,
Write In,US House,13,,Cambria,Reade Twp,,
Susan Boser,US House,15,DEM,Cambria,Reade Twp,111,
Glenn Gt Thompson,US House,15,REP,Cambria,Reade Twp,392,
Write In,US House,15,,Cambria,Reade Twp,0,
Bryan Barbin,State House,71,DEM,Cambria,Reade Twp,,
Jim Rigby,State House,71,REP,Cambria,Reade Twp,,
Write In,State House,71,,Cambria,Reade Twp,,
Frank Burns,State House,72,DEM,Cambria,Reade Twp,160,
Jerry Carnicella,State House,72,REP,Cambria,Reade Twp,343,
Write In,State House,72,,Cambria,Reade Twp,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Reade Twp,,
Write In,State House,73,,Cambria,Reade Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,Richland Twp 1,244,
Lou Barletta,U.S. Senate,,REP,Cambria,Richland Twp 1,363,
Neal Gale,U.S. Senate,,GR,Cambria,Richland Twp 1,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Richland Twp 1,7,
Write In,U.S. Senate,,,Cambria,Richland Twp 1,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Richland Twp 1,263,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Richland Twp 1,351,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Richland Twp 1,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Richland Twp 1,5,
Write In,Governor & Lieutenant Governor,,,Cambria,Richland Twp 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Richland Twp 1,,
John Joyce,US House,13,REP,Cambria,Richland Twp 1,,
Write In,US House,13,,Cambria,Richland Twp 1,,
Susan Boser,US House,15,DEM,Cambria,Richland Twp 1,204,
Glenn Gt Thompson,US House,15,REP,Cambria,Richland Twp 1,414,
Write In,US House,15,,Cambria,Richland Twp 1,1,
Bryan Barbin,State House,71,DEM,Cambria,Richland Twp 1,236,
Jim Rigby,State House,71,REP,Cambria,Richland Twp 1,386,
Write In,State House,71,,Cambria,Richland Twp 1,1,
Frank Burns,State House,72,DEM,Cambria,Richland Twp 1,,
Jerry Carnicella,State House,72,REP,Cambria,Richland Twp 1,,
Write In,State House,72,,Cambria,Richland Twp 1,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Richland Twp 1,,
Write In,State House,73,,Cambria,Richland Twp 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Richland Twp 2,310,
Lou Barletta,U.S. Senate,,REP,Cambria,Richland Twp 2,413,
Neal Gale,U.S. Senate,,GR,Cambria,Richland Twp 2,4,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Richland Twp 2,2,
Write In,U.S. Senate,,,Cambria,Richland Twp 2,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Richland Twp 2,336,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Richland Twp 2,395,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Richland Twp 2,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Richland Twp 2,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Richland Twp 2,0,
Brent Ottaway,US House,13,DEM,Cambria,Richland Twp 2,,
John Joyce,US House,13,REP,Cambria,Richland Twp 2,,
Write In,US House,13,,Cambria,Richland Twp 2,,
Susan Boser,US House,15,DEM,Cambria,Richland Twp 2,254,
Glenn Gt Thompson,US House,15,REP,Cambria,Richland Twp 2,476,
Write In,US House,15,,Cambria,Richland Twp 2,0,
Bryan Barbin,State House,71,DEM,Cambria,Richland Twp 2,306,
Jim Rigby,State House,71,REP,Cambria,Richland Twp 2,429,
Write In,State House,71,,Cambria,Richland Twp 2,0,
Frank Burns,State House,72,DEM,Cambria,Richland Twp 2,,
Jerry Carnicella,State House,72,REP,Cambria,Richland Twp 2,,
Write In,State House,72,,Cambria,Richland Twp 2,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Richland Twp 2,,
Write In,State House,73,,Cambria,Richland Twp 2,,
Bob Casey,U.S. Senate,,DEM,Cambria,Richland Twp 3,145,
Lou Barletta,U.S. Senate,,REP,Cambria,Richland Twp 3,287,
Neal Gale,U.S. Senate,,GR,Cambria,Richland Twp 3,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Richland Twp 3,4,
Write In,U.S. Senate,,,Cambria,Richland Twp 3,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Richland Twp 3,159,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Richland Twp 3,277,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Richland Twp 3,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Richland Twp 3,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Richland Twp 3,0,
Brent Ottaway,US House,13,DEM,Cambria,Richland Twp 3,,
John Joyce,US House,13,REP,Cambria,Richland Twp 3,,
Write In,US House,13,,Cambria,Richland Twp 3,,
Susan Boser,US House,15,DEM,Cambria,Richland Twp 3,122,
Glenn Gt Thompson,US House,15,REP,Cambria,Richland Twp 3,316,
Write In,US House,15,,Cambria,Richland Twp 3,0,
Bryan Barbin,State House,71,DEM,Cambria,Richland Twp 3,163,
Jim Rigby,State House,71,REP,Cambria,Richland Twp 3,279,
Write In,State House,71,,Cambria,Richland Twp 3,0,
Frank Burns,State House,72,DEM,Cambria,Richland Twp 3,,
Jerry Carnicella,State House,72,REP,Cambria,Richland Twp 3,,
Write In,State House,72,,Cambria,Richland Twp 3,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Richland Twp 3,,
Write In,State House,73,,Cambria,Richland Twp 3,,
Bob Casey,U.S. Senate,,DEM,Cambria,Richland Twp 4,237,
Lou Barletta,U.S. Senate,,REP,Cambria,Richland Twp 4,342,
Neal Gale,U.S. Senate,,GR,Cambria,Richland Twp 4,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Richland Twp 4,3,
Write In,U.S. Senate,,,Cambria,Richland Twp 4,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Richland Twp 4,250,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Richland Twp 4,331,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Richland Twp 4,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Richland Twp 4,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Richland Twp 4,0,
Brent Ottaway,US House,13,DEM,Cambria,Richland Twp 4,,
John Joyce,US House,13,REP,Cambria,Richland Twp 4,,
Write In,US House,13,,Cambria,Richland Twp 4,,
Susan Boser,US House,15,DEM,Cambria,Richland Twp 4,180,
Glenn Gt Thompson,US House,15,REP,Cambria,Richland Twp 4,402,
Write In,US House,15,,Cambria,Richland Twp 4,0,
Bryan Barbin,State House,71,DEM,Cambria,Richland Twp 4,231,
Jim Rigby,State House,71,REP,Cambria,Richland Twp 4,354,
Write In,State House,71,,Cambria,Richland Twp 4,0,
Frank Burns,State House,72,DEM,Cambria,Richland Twp 4,,
Jerry Carnicella,State House,72,REP,Cambria,Richland Twp 4,,
Write In,State House,72,,Cambria,Richland Twp 4,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Richland Twp 4,,
Write In,State House,73,,Cambria,Richland Twp 4,,
Bob Casey,U.S. Senate,,DEM,Cambria,Richland Twp 5,226,
Lou Barletta,U.S. Senate,,REP,Cambria,Richland Twp 5,328,
Neal Gale,U.S. Senate,,GR,Cambria,Richland Twp 5,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Richland Twp 5,8,
Write In,U.S. Senate,,,Cambria,Richland Twp 5,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Richland Twp 5,236,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Richland Twp 5,314,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Richland Twp 5,5,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Richland Twp 5,10,
Write In,Governor & Lieutenant Governor,,,Cambria,Richland Twp 5,0,
Brent Ottaway,US House,13,DEM,Cambria,Richland Twp 5,,
John Joyce,US House,13,REP,Cambria,Richland Twp 5,,
Write In,US House,13,,Cambria,Richland Twp 5,,
Susan Boser,US House,15,DEM,Cambria,Richland Twp 5,192,
Glenn Gt Thompson,US House,15,REP,Cambria,Richland Twp 5,369,
Write In,US House,15,,Cambria,Richland Twp 5,0,
Bryan Barbin,State House,71,DEM,Cambria,Richland Twp 5,248,
Jim Rigby,State House,71,REP,Cambria,Richland Twp 5,320,
Write In,State House,71,,Cambria,Richland Twp 5,0,
Frank Burns,State House,72,DEM,Cambria,Richland Twp 5,,
Jerry Carnicella,State House,72,REP,Cambria,Richland Twp 5,,
Write In,State House,72,,Cambria,Richland Twp 5,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Richland Twp 5,,
Write In,State House,73,,Cambria,Richland Twp 5,,
Bob Casey,U.S. Senate,,DEM,Cambria,Richland Twp 6,246,
Lou Barletta,U.S. Senate,,REP,Cambria,Richland Twp 6,303,
Neal Gale,U.S. Senate,,GR,Cambria,Richland Twp 6,6,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Richland Twp 6,7,
Write In,U.S. Senate,,,Cambria,Richland Twp 6,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Richland Twp 6,257,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Richland Twp 6,300,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Richland Twp 6,6,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Richland Twp 6,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Richland Twp 6,0,
Brent Ottaway,US House,13,DEM,Cambria,Richland Twp 6,,
John Joyce,US House,13,REP,Cambria,Richland Twp 6,,
Write In,US House,13,,Cambria,Richland Twp 6,,
Susan Boser,US House,15,DEM,Cambria,Richland Twp 6,208,
Glenn Gt Thompson,US House,15,REP,Cambria,Richland Twp 6,354,
Write In,US House,15,,Cambria,Richland Twp 6,1,
Bryan Barbin,State House,71,DEM,Cambria,Richland Twp 6,261,
Jim Rigby,State House,71,REP,Cambria,Richland Twp 6,303,
Write In,State House,71,,Cambria,Richland Twp 6,1,
Frank Burns,State House,72,DEM,Cambria,Richland Twp 6,,
Jerry Carnicella,State House,72,REP,Cambria,Richland Twp 6,,
Write In,State House,72,,Cambria,Richland Twp 6,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Richland Twp 6,,
Write In,State House,73,,Cambria,Richland Twp 6,,
Bob Casey,U.S. Senate,,DEM,Cambria,Richland Twp 7,250,
Lou Barletta,U.S. Senate,,REP,Cambria,Richland Twp 7,416,
Neal Gale,U.S. Senate,,GR,Cambria,Richland Twp 7,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Richland Twp 7,3,
Write In,U.S. Senate,,,Cambria,Richland Twp 7,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Richland Twp 7,260,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Richland Twp 7,406,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Richland Twp 7,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Richland Twp 7,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Richland Twp 7,0,
Brent Ottaway,US House,13,DEM,Cambria,Richland Twp 7,,
John Joyce,US House,13,REP,Cambria,Richland Twp 7,,
Write In,US House,13,,Cambria,Richland Twp 7,,
Susan Boser,US House,15,DEM,Cambria,Richland Twp 7,203,
Glenn Gt Thompson,US House,15,REP,Cambria,Richland Twp 7,463,
Write In,US House,15,,Cambria,Richland Twp 7,0,
Bryan Barbin,State House,71,DEM,Cambria,Richland Twp 7,274,
Jim Rigby,State House,71,REP,Cambria,Richland Twp 7,397,
Write In,State House,71,,Cambria,Richland Twp 7,0,
Frank Burns,State House,72,DEM,Cambria,Richland Twp 7,,
Jerry Carnicella,State House,72,REP,Cambria,Richland Twp 7,,
Write In,State House,72,,Cambria,Richland Twp 7,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Richland Twp 7,,
Write In,State House,73,,Cambria,Richland Twp 7,,
Bob Casey,U.S. Senate,,DEM,Cambria,Richland Twp 8,157,
Lou Barletta,U.S. Senate,,REP,Cambria,Richland Twp 8,198,
Neal Gale,U.S. Senate,,GR,Cambria,Richland Twp 8,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Richland Twp 8,2,
Write In,U.S. Senate,,,Cambria,Richland Twp 8,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Richland Twp 8,163,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Richland Twp 8,195,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Richland Twp 8,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Richland Twp 8,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Richland Twp 8,0,
Brent Ottaway,US House,13,DEM,Cambria,Richland Twp 8,,
John Joyce,US House,13,REP,Cambria,Richland Twp 8,,
Write In,US House,13,,Cambria,Richland Twp 8,,
Susan Boser,US House,15,DEM,Cambria,Richland Twp 8,140,
Glenn Gt Thompson,US House,15,REP,Cambria,Richland Twp 8,221,
Write In,US House,15,,Cambria,Richland Twp 8,0,
Bryan Barbin,State House,71,DEM,Cambria,Richland Twp 8,167,
Jim Rigby,State House,71,REP,Cambria,Richland Twp 8,195,
Write In,State House,71,,Cambria,Richland Twp 8,0,
Frank Burns,State House,72,DEM,Cambria,Richland Twp 8,,
Jerry Carnicella,State House,72,REP,Cambria,Richland Twp 8,,
Write In,State House,72,,Cambria,Richland Twp 8,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Richland Twp 8,,
Write In,State House,73,,Cambria,Richland Twp 8,,
Bob Casey,U.S. Senate,,DEM,Cambria,Richland Twp 9,216,
Lou Barletta,U.S. Senate,,REP,Cambria,Richland Twp 9,282,
Neal Gale,U.S. Senate,,GR,Cambria,Richland Twp 9,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Richland Twp 9,2,
Write In,U.S. Senate,,,Cambria,Richland Twp 9,0,
