county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Perry,0004 CARROLL TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Write-ins,0,0,0,0
Perry,0004 CARROLL TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Over Votes,0,0,0,0
Perry,0004 CARROLL TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Under Votes,23,22,1,0
Perry,0004 CARROLL TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,DEM,KAREN ANN ANDERSON,430,409,21,0
Perry,0004 CARROLL TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,REP,MARK K KELLER,1567,1524,43,0
Perry,0004 CARROLL TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Write-ins,1,1,0,0
Perry,0004 CARROLL TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Over Votes,0,0,0,0
Perry,0004 CARROLL TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Under Votes,9,8,1,0
Perry,0005 CENTRE TOWNSHIP,,,,Registered Voters,1573,,,
Perry,0005 CENTRE TOWNSHIP,,,,Ballots Cast,971,927,44,0
Perry,0005 CENTRE TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,77,73,4,0
Perry,0005 CENTRE TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,438,422,16,0
Perry,0005 CENTRE TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN,2,2,0,0
Perry,0005 CENTRE TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,0,0,0,0
Perry,0005 CENTRE TOWNSHIP,STRAIGHT PARTY,,,Over Votes,0,0,0,0
Perry,0005 CENTRE TOWNSHIP,STRAIGHT PARTY,,,Under Votes,454,430,24,0
Perry,0005 CENTRE TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,274,263,11,0
Perry,0005 CENTRE TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,665,633,32,0
Perry,0005 CENTRE TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,10,10,0,0
Perry,0005 CENTRE TOWNSHIP,U.S. Senate,,LIB,DALE R. KERNS JR,13,13,0,0
Perry,0005 CENTRE TOWNSHIP,U.S. Senate,,,Write-ins,1,1,0,0
Perry,0005 CENTRE TOWNSHIP,U.S. Senate,,,Over Votes,0,0,0,0
Perry,0005 CENTRE TOWNSHIP,U.S. Senate,,,Under Votes,8,7,1,0
Perry,0005 CENTRE TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,DEM,WOLF / FETTERMAN,310,298,12,0
Perry,0005 CENTRE TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,REP,WAGNER / BARTOS,631,602,29,0
Perry,0005 CENTRE TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,GRN,GLOVER / BOWSER-BOSTICK,9,7,2,0
Perry,0005 CENTRE TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,LIB,KRAWCHUK / SMITH,12,12,0,0
Perry,0005 CENTRE TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Write-ins,1,1,0,0
Perry,0005 CENTRE TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Over Votes,0,0,0,0
Perry,0005 CENTRE TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Under Votes,8,7,1,0
Perry,0005 CENTRE TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,DEM,MARC FRIEDENBERG,225,215,10,0
Perry,0005 CENTRE TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,REP,TOM MARINO,731,697,34,0
Perry,0005 CENTRE TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Write-ins,1,1,0,0
Perry,0005 CENTRE TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Over Votes,0,0,0,0
Perry,0005 CENTRE TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Under Votes,14,14,0,0
Perry,0005 CENTRE TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,DEM,KAREN ANN ANDERSON,223,213,10,0
Perry,0005 CENTRE TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,REP,MARK K KELLER,743,709,34,0
Perry,0005 CENTRE TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Write-ins,1,1,0,0
Perry,0005 CENTRE TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Over Votes,0,0,0,0
Perry,0005 CENTRE TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Under Votes,4,4,0,0
Perry,0006 DUNCANNON BOROUGH,,,,Registered Voters,897,,,
Perry,0006 DUNCANNON BOROUGH,,,,Ballots Cast,485,473,12,0
Perry,0006 DUNCANNON BOROUGH,STRAIGHT PARTY,,DEM,DEMOCRATIC,80,78,2,0
Perry,0006 DUNCANNON BOROUGH,STRAIGHT PARTY,,REP,REPUBLICAN,180,177,3,0
Perry,0006 DUNCANNON BOROUGH,STRAIGHT PARTY,,GRN,GREEN,0,0,0,0
Perry,0006 DUNCANNON BOROUGH,STRAIGHT PARTY,,LIB,LIBERTARIAN,2,2,0,0
Perry,0006 DUNCANNON BOROUGH,STRAIGHT PARTY,,,Over Votes,0,0,0,0
Perry,0006 DUNCANNON BOROUGH,STRAIGHT PARTY,,,Under Votes,223,216,7,0
Perry,0006 DUNCANNON BOROUGH,U.S. Senate,,DEM,BOB CASEY JR,175,170,5,0
Perry,0006 DUNCANNON BOROUGH,U.S. Senate,,REP,LOU BARLETTA,292,285,7,0
Perry,0006 DUNCANNON BOROUGH,U.S. Senate,,GRN,NEAL GALE,2,2,0,0
Perry,0006 DUNCANNON BOROUGH,U.S. Senate,,LIB,DALE R. KERNS JR,12,12,0,0
Perry,0006 DUNCANNON BOROUGH,U.S. Senate,,,Write-ins,0,0,0,0
Perry,0006 DUNCANNON BOROUGH,U.S. Senate,,,Over Votes,0,0,0,0
Perry,0006 DUNCANNON BOROUGH,U.S. Senate,,,Under Votes,4,4,0,0
Perry,0006 DUNCANNON BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,DEM,WOLF / FETTERMAN,195,190,5,0
Perry,0006 DUNCANNON BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,REP,WAGNER / BARTOS,276,269,7,0
Perry,0006 DUNCANNON BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,GRN,GLOVER / BOWSER-BOSTICK,2,2,0,0
Perry,0006 DUNCANNON BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,LIB,KRAWCHUK / SMITH,8,8,0,0
Perry,0006 DUNCANNON BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,,Write-ins,1,1,0,0
Perry,0006 DUNCANNON BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,,Over Votes,0,0,0,0
Perry,0006 DUNCANNON BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,,Under Votes,3,3,0,0
Perry,0006 DUNCANNON BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,DEM,MARC FRIEDENBERG,165,161,4,0
Perry,0006 DUNCANNON BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,REP,TOM MARINO,313,305,8,0
Perry,0006 DUNCANNON BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Write-ins,1,1,0,0
Perry,0006 DUNCANNON BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Over Votes,0,0,0,0
Perry,0006 DUNCANNON BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Under Votes,6,6,0,0
Perry,0006 DUNCANNON BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,DEM,KAREN ANN ANDERSON,160,156,4,0
Perry,0006 DUNCANNON BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,REP,MARK K KELLER,324,316,8,0
Perry,0006 DUNCANNON BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Write-ins,1,1,0,0
Perry,0006 DUNCANNON BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Over Votes,0,0,0,0
Perry,0006 DUNCANNON BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Under Votes,0,0,0,0
Perry,0007 GREENWOOD TOWNSHIP,,,,Registered Voters,705,,,
Perry,0007 GREENWOOD TOWNSHIP,,,,Ballots Cast,513,497,16,0
Perry,0007 GREENWOOD TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,76,74,2,0
Perry,0007 GREENWOOD TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,224,213,11,0
Perry,0007 GREENWOOD TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN,1,1,0,0
Perry,0007 GREENWOOD TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,0,0,0,0
Perry,0007 GREENWOOD TOWNSHIP,STRAIGHT PARTY,,,Over Votes,0,0,0,0
Perry,0007 GREENWOOD TOWNSHIP,STRAIGHT PARTY,,,Under Votes,212,209,3,0
Perry,0007 GREENWOOD TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,170,166,4,0
Perry,0007 GREENWOOD TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,329,317,12,0
Perry,0007 GREENWOOD TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,3,3,0,0
Perry,0007 GREENWOOD TOWNSHIP,U.S. Senate,,LIB,DALE R. KERNS JR,6,6,0,0
Perry,0007 GREENWOOD TOWNSHIP,U.S. Senate,,,Write-ins,1,1,0,0
Perry,0007 GREENWOOD TOWNSHIP,U.S. Senate,,,Over Votes,0,0,0,0
Perry,0007 GREENWOOD TOWNSHIP,U.S. Senate,,,Under Votes,4,4,0,0
Perry,0007 GREENWOOD TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,DEM,WOLF / FETTERMAN,192,188,4,0
Perry,0007 GREENWOOD TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,REP,WAGNER / BARTOS,308,297,11,0
Perry,0007 GREENWOOD TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,GRN,GLOVER / BOWSER-BOSTICK,1,1,0,0
Perry,0007 GREENWOOD TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,LIB,KRAWCHUK / SMITH,4,3,1,0
Perry,0007 GREENWOOD TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Write-ins,2,2,0,0
Perry,0007 GREENWOOD TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Over Votes,0,0,0,0
Perry,0007 GREENWOOD TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Under Votes,6,6,0,0
