candidate,office,district,party,county,precinct,election_day,absentee,provisional,emergency,votes
Neal Gale,U.S. Senate,,GRN,Bradford,NEW ALBANY BOROUGH,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,NEW ALBANY BOROUGH,2,0,0,0,2
Write In Votes,U.S. Senate,,,Bradford,NEW ALBANY BOROUGH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,NEW ALBANY BOROUGH,19,0,0,0,19
Wagner/Bartos,Governor,,REP,Bradford,NEW ALBANY BOROUGH,43,1,0,0,44
Glover/Bostick,Governor,,GRN,Bradford,NEW ALBANY BOROUGH,0,0,0,0,0
Krawchuk /Smith,Governor,,LIB,Bradford,NEW ALBANY BOROUGH,2,0,0,0,2
Write In Votes,Governor,,,Bradford,NEW ALBANY BOROUGH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,NEW ALBANY BOROUGH,18,0,0,0,18
Tom Marino,U.S. House,12,REP,Bradford,NEW ALBANY BOROUGH,47,1,0,0,48
Write In Votes,U.S. House,12,,Bradford,NEW ALBANY BOROUGH,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,NEW ALBANY BOROUGH,,,,,
Clint Owlet,State House,68,REP,Bradford,NEW ALBANY BOROUGH,,,,,
Write In Votes,State House,68,,Bradford,NEW ALBANY BOROUGH,,,,,
Donna Iannone,State House,110,DEM,Bradford,NEW ALBANY BOROUGH,13,0,0,0,13
Tina Pickett,State House,110,REP,Bradford,NEW ALBANY BOROUGH,53,1,0,0,54
Write In Votes,State House,110,,Bradford,NEW ALBANY BOROUGH,0,0,0,0,0
,Registered Voters,,,Bradford,ORWELL TOWNSHIP,728,728,728,728,728
,Ballots Cast,,,Bradford,ORWELL TOWNSHIP,418,23,2,0,443
,Straight Party,,DEM,Bradford,ORWELL TOWNSHIP,52,2,0,0,54
,Straight Party,,REP,Bradford,ORWELL TOWNSHIP,175,13,1,0,189
,Straight Party,,GRN,Bradford,ORWELL TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,ORWELL TOWNSHIP,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ORWELL TOWNSHIP,127,7,0,0,134
Lou Barletta,U.S. Senate,,REP,Bradford,ORWELL TOWNSHIP,283,16,2,0,301
Neal Gale,U.S. Senate,,GRN,Bradford,ORWELL TOWNSHIP,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ORWELL TOWNSHIP,3,0,0,0,3
Write In Votes,U.S. Senate,,,Bradford,ORWELL TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ORWELL TOWNSHIP,118,7,0,0,125
Wagner/Bartos,Governor,,REP,Bradford,ORWELL TOWNSHIP,289,16,2,0,307
Glover/Bostick,Governor,,GRN,Bradford,ORWELL TOWNSHIP,3,0,0,0,3
Krawchuk /Smith,Governor,,LIB,Bradford,ORWELL TOWNSHIP,5,0,0,0,5
Write In Votes,Governor,,,Bradford,ORWELL TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ORWELL TOWNSHIP,95,5,0,0,100
Tom Marino,U.S. House,12,REP,Bradford,ORWELL TOWNSHIP,314,18,2,0,334
Write In Votes,U.S. House,12,,Bradford,ORWELL TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,ORWELL TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,ORWELL TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,ORWELL TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,ORWELL TOWNSHIP,108,5,0,0,113
Tina Pickett,State House,110,REP,Bradford,ORWELL TOWNSHIP,304,18,2,0,324
Write In Votes,State House,110,,Bradford,ORWELL TOWNSHIP,1,0,0,0,1
,Registered Voters,,,Bradford,OVERTON TOWNSHIP,152,152,152,152,152
,Ballots Cast,,,Bradford,OVERTON TOWNSHIP,96,2,0,0,98
,Straight Party,,DEM,Bradford,OVERTON TOWNSHIP,6,0,0,0,6
,Straight Party,,REP,Bradford,OVERTON TOWNSHIP,29,0,0,0,29
,Straight Party,,GRN,Bradford,OVERTON TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,OVERTON TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,OVERTON TOWNSHIP,30,2,0,0,32
Lou Barletta,U.S. Senate,,REP,Bradford,OVERTON TOWNSHIP,64,0,0,0,64
Neal Gale,U.S. Senate,,GRN,Bradford,OVERTON TOWNSHIP,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,OVERTON TOWNSHIP,1,0,0,0,1
Write In Votes,U.S. Senate,,,Bradford,OVERTON TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,OVERTON TOWNSHIP,31,0,0,0,31
Wagner/Bartos,Governor,,REP,Bradford,OVERTON TOWNSHIP,63,2,0,0,65
Glover/Bostick,Governor,,GRN,Bradford,OVERTON TOWNSHIP,0,0,0,0,0
Krawchuk /Smith,Governor,,LIB,Bradford,OVERTON TOWNSHIP,1,0,0,0,1
Write In Votes,Governor,,,Bradford,OVERTON TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,OVERTON TOWNSHIP,24,1,0,0,25
Tom Marino,U.S. House,12,REP,Bradford,OVERTON TOWNSHIP,72,1,0,0,73
Write In Votes,U.S. House,12,,Bradford,OVERTON TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,OVERTON TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,OVERTON TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,OVERTON TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,OVERTON TOWNSHIP,32,2,0,0,34
Tina Pickett,State House,110,REP,Bradford,OVERTON TOWNSHIP,64,0,0,0,64
Write In Votes,State House,110,,Bradford,OVERTON TOWNSHIP,0,0,0,0,0
,Registered Voters,,,Bradford,PIKE TOWNSHIP,348,348,348,348,348
,Ballots Cast,,,Bradford,PIKE TOWNSHIP,217,7,0,0,224
,Straight Party,,DEM,Bradford,PIKE TOWNSHIP,12,0,0,0,12
,Straight Party,,REP,Bradford,PIKE TOWNSHIP,90,4,0,0,94
,Straight Party,,GRN,Bradford,PIKE TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,PIKE TOWNSHIP,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,PIKE TOWNSHIP,56,1,0,0,57
Lou Barletta,U.S. Senate,,REP,Bradford,PIKE TOWNSHIP,152,6,0,0,158
Neal Gale,U.S. Senate,,GRN,Bradford,PIKE TOWNSHIP,2,0,0,0,2
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,PIKE TOWNSHIP,2,0,0,0,2
Write In Votes,U.S. Senate,,,Bradford,PIKE TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,PIKE TOWNSHIP,53,1,0,0,54
Wagner/Bartos,Governor,,REP,Bradford,PIKE TOWNSHIP,152,6,0,0,158
Glover/Bostick,Governor,,GRN,Bradford,PIKE TOWNSHIP,3,0,0,0,3
Krawchuk /Smith,Governor,,LIB,Bradford,PIKE TOWNSHIP,6,0,0,0,6
Write In Votes,Governor,,,Bradford,PIKE TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,PIKE TOWNSHIP,44,1,0,0,45
Tom Marino,U.S. House,12,REP,Bradford,PIKE TOWNSHIP,165,6,0,0,171
Write In Votes,U.S. House,12,,Bradford,PIKE TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,PIKE TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,PIKE TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,PIKE TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,PIKE TOWNSHIP,38,1,0,0,39
Tina Pickett,State House,110,REP,Bradford,PIKE TOWNSHIP,174,6,0,0,180
Write In Votes,State House,110,,Bradford,PIKE TOWNSHIP,0,0,0,0,0
,Registered Voters,,,Bradford,RIDGEBURY TOWNSHIP,1217,1217,1217,1217,1217
,Ballots Cast,,,Bradford,RIDGEBURY TOWNSHIP,626,18,0,0,644
,Straight Party,,DEM,Bradford,RIDGEBURY TOWNSHIP,68,4,0,0,72
,Straight Party,,REP,Bradford,RIDGEBURY TOWNSHIP,293,9,0,0,302
,Straight Party,,GRN,Bradford,RIDGEBURY TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,RIDGEBURY TOWNSHIP,3,0,0,0,3
Bob Casey Jr,U.S. Senate,,DEM,Bradford,RIDGEBURY TOWNSHIP,173,8,0,0,181
Lou Barletta,U.S. Senate,,REP,Bradford,RIDGEBURY TOWNSHIP,428,9,0,0,437
Neal Gale,U.S. Senate,,GRN,Bradford,RIDGEBURY TOWNSHIP,4,0,0,0,4
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,RIDGEBURY TOWNSHIP,13,0,0,0,13
Write In Votes,U.S. Senate,,,Bradford,RIDGEBURY TOWNSHIP,1,0,0,0,1
Wolf/Fetterman,Governor,,DEM,Bradford,RIDGEBURY TOWNSHIP,169,5,0,0,174
Wagner/Bartos,Governor,,REP,Bradford,RIDGEBURY TOWNSHIP,425,9,0,0,434
Glover/Bostick,Governor,,GRN,Bradford,RIDGEBURY TOWNSHIP,5,3,0,0,8
Krawchuk /Smith,Governor,,LIB,Bradford,RIDGEBURY TOWNSHIP,19,0,0,0,19
Write In Votes,Governor,,,Bradford,RIDGEBURY TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,RIDGEBURY TOWNSHIP,136,5,0,0,141
Tom Marino,U.S. House,12,REP,Bradford,RIDGEBURY TOWNSHIP,469,12,0,0,481
Write In Votes,U.S. House,12,,Bradford,RIDGEBURY TOWNSHIP,2,0,0,0,2
Carrie Heath,State House,68,DEM,Bradford,RIDGEBURY TOWNSHIP,129,5,0,0,134
Clint Owlet,State House,68,REP,Bradford,RIDGEBURY TOWNSHIP,483,12,0,0,495
Write In Votes,State House,68,,Bradford,RIDGEBURY TOWNSHIP,1,0,0,0,1
Donna Iannone,State House,110,DEM,Bradford,RIDGEBURY TOWNSHIP,,,,,
Tina Pickett,State House,110,REP,Bradford,RIDGEBURY TOWNSHIP,,,,,
Write In Votes,State House,110,,Bradford,RIDGEBURY TOWNSHIP,,,,,
,Registered Voters,,,Bradford,ROME BOROUGH,200,200,200,200,200
,Ballots Cast,,,Bradford,ROME BOROUGH,80,0,0,0,80
,Straight Party,,DEM,Bradford,ROME BOROUGH,7,0,0,0,7
,Straight Party,,REP,Bradford,ROME BOROUGH,39,0,0,0,39
,Straight Party,,GRN,Bradford,ROME BOROUGH,1,0,0,0,1
,Straight Party,,LIB,Bradford,ROME BOROUGH,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ROME BOROUGH,20,0,0,0,20
Lou Barletta,U.S. Senate,,REP,Bradford,ROME BOROUGH,58,0,0,0,58
Neal Gale,U.S. Senate,,GRN,Bradford,ROME BOROUGH,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ROME BOROUGH,0,0,0,0,0
Write In Votes,U.S. Senate,,,Bradford,ROME BOROUGH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ROME BOROUGH,22,0,0,0,22
Wagner/Bartos,Governor,,REP,Bradford,ROME BOROUGH,57,0,0,0,57
Glover/Bostick,Governor,,GRN,Bradford,ROME BOROUGH,1,0,0,0,1
Krawchuk /Smith,Governor,,LIB,Bradford,ROME BOROUGH,0,0,0,0,0
Write In Votes,Governor,,,Bradford,ROME BOROUGH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ROME BOROUGH,17,0,0,0,17
Tom Marino,U.S. House,12,REP,Bradford,ROME BOROUGH,62,0,0,0,62
Write In Votes,U.S. House,12,,Bradford,ROME BOROUGH,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,ROME BOROUGH,,,,,
Clint Owlet,State House,68,REP,Bradford,ROME BOROUGH,,,,,
Write In Votes,State House,68,,Bradford,ROME BOROUGH,,,,,
Donna Iannone,State House,110,DEM,Bradford,ROME BOROUGH,15,0,0,0,15
Tina Pickett,State House,110,REP,Bradford,ROME BOROUGH,64,0,0,0,64
Write In Votes,State House,110,,Bradford,ROME BOROUGH,0,0,0,0,0
,Registered Voters,,,Bradford,ROME TOWNSHIP,683,683,683,683,683
,Ballots Cast,,,Bradford,ROME TOWNSHIP,380,19,0,0,399
,Straight Party,,DEM,Bradford,ROME TOWNSHIP,28,0,0,0,28
,Straight Party,,REP,Bradford,ROME TOWNSHIP,169,12,0,0,181
,Straight Party,,GRN,Bradford,ROME TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,ROME TOWNSHIP,2,0,0,0,2
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ROME TOWNSHIP,93,1,0,0,94
Lou Barletta,U.S. Senate,,REP,Bradford,ROME TOWNSHIP,271,18,0,0,289
Neal Gale,U.S. Senate,,GRN,Bradford,ROME TOWNSHIP,2,0,0,0,2
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ROME TOWNSHIP,6,0,0,0,6
Write In Votes,U.S. Senate,,,Bradford,ROME TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ROME TOWNSHIP,94,2,0,0,96
Wagner/Bartos,Governor,,REP,Bradford,ROME TOWNSHIP,268,17,0,0,285
Glover/Bostick,Governor,,GRN,Bradford,ROME TOWNSHIP,1,0,0,0,1
Krawchuk /Smith,Governor,,LIB,Bradford,ROME TOWNSHIP,10,0,0,0,10
Write In Votes,Governor,,,Bradford,ROME TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ROME TOWNSHIP,68,2,0,0,70
Tom Marino,U.S. House,12,REP,Bradford,ROME TOWNSHIP,293,17,0,0,310
Write In Votes,U.S. House,12,,Bradford,ROME TOWNSHIP,4,0,0,0,4
Carrie Heath,State House,68,DEM,Bradford,ROME TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,ROME TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,ROME TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,ROME TOWNSHIP,87,2,0,0,89
Tina Pickett,State House,110,REP,Bradford,ROME TOWNSHIP,283,17,0,0,300
Write In Votes,State House,110,,Bradford,ROME TOWNSHIP,2,0,0,0,2
,Registered Voters,,,Bradford,SAYRE BOROUGH 1ST,478,478,478,478,478
,Ballots Cast,,,Bradford,SAYRE BOROUGH 1ST,245,11,2,0,258
,Straight Party,,DEM,Bradford,SAYRE BOROUGH 1ST,57,5,0,0,62
,Straight Party,,REP,Bradford,SAYRE BOROUGH 1ST,61,1,1,0,63
,Straight Party,,GRN,Bradford,SAYRE BOROUGH 1ST,2,0,1,0,3
,Straight Party,,LIB,Bradford,SAYRE BOROUGH 1ST,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SAYRE BOROUGH 1ST,138,8,0,0,146
Lou Barletta,U.S. Senate,,REP,Bradford,SAYRE BOROUGH 1ST,99,3,1,0,103
Neal Gale,U.S. Senate,,GRN,Bradford,SAYRE BOROUGH 1ST,3,0,1,0,4
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SAYRE BOROUGH 1ST,3,0,0,0,3
Write In Votes,U.S. Senate,,,Bradford,SAYRE BOROUGH 1ST,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,SAYRE BOROUGH 1ST,142,7,0,0,149
Wagner/Bartos,Governor,,REP,Bradford,SAYRE BOROUGH 1ST,93,3,1,0,97
Glover/Bostick,Governor,,GRN,Bradford,SAYRE BOROUGH 1ST,1,0,1,0,2
Krawchuk /Smith,Governor,,LIB,Bradford,SAYRE BOROUGH 1ST,7,1,0,0,8
Write In Votes,Governor,,,Bradford,SAYRE BOROUGH 1ST,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,SAYRE BOROUGH 1ST,119,9,1,0,129
Tom Marino,U.S. House,12,REP,Bradford,SAYRE BOROUGH 1ST,117,2,1,0,120
Write In Votes,U.S. House,12,,Bradford,SAYRE BOROUGH 1ST,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,SAYRE BOROUGH 1ST,,,,,
Clint Owlet,State House,68,REP,Bradford,SAYRE BOROUGH 1ST,,,,,
Write In Votes,State House,68,,Bradford,SAYRE BOROUGH 1ST,,,,,
Donna Iannone,State House,110,DEM,Bradford,SAYRE BOROUGH 1ST,94,5,1,0,100
Tina Pickett,State House,110,REP,Bradford,SAYRE BOROUGH 1ST,147,6,1,0,154
Write In Votes,State House,110,,Bradford,SAYRE BOROUGH 1ST,0,0,0,0,0
,Registered Voters,,,Bradford,SAYRE BOROUGH 2ND,1418,1418,1418,1418,1418
,Ballots Cast,,,Bradford,SAYRE BOROUGH 2ND,724,16,0,0,740
,Straight Party,,DEM,Bradford,SAYRE BOROUGH 2ND,149,2,0,0,151
,Straight Party,,REP,Bradford,SAYRE BOROUGH 2ND,208,6,0,0,214
,Straight Party,,GRN,Bradford,SAYRE BOROUGH 2ND,2,0,0,0,2
,Straight Party,,LIB,Bradford,SAYRE BOROUGH 2ND,3,0,0,0,3
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SAYRE BOROUGH 2ND,373,6,0,0,379
Lou Barletta,U.S. Senate,,REP,Bradford,SAYRE BOROUGH 2ND,318,10,0,0,328
Neal Gale,U.S. Senate,,GRN,Bradford,SAYRE BOROUGH 2ND,5,0,0,0,5
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SAYRE BOROUGH 2ND,11,0,0,0,11
Write In Votes,U.S. Senate,,,Bradford,SAYRE BOROUGH 2ND,3,0,0,0,3
Wolf/Fetterman,Governor,,DEM,Bradford,SAYRE BOROUGH 2ND,363,7,0,0,370
Wagner/Bartos,Governor,,REP,Bradford,SAYRE BOROUGH 2ND,320,9,0,0,329
Glover/Bostick,Governor,,GRN,Bradford,SAYRE BOROUGH 2ND,11,0,0,0,11
Krawchuk /Smith,Governor,,LIB,Bradford,SAYRE BOROUGH 2ND,14,0,0,0,14
Write In Votes,Governor,,,Bradford,SAYRE BOROUGH 2ND,2,0,0,0,2
Marc Friedenberg,U.S. House,12,DEM,Bradford,SAYRE BOROUGH 2ND,317,8,0,0,325
Tom Marino,U.S. House,12,REP,Bradford,SAYRE BOROUGH 2ND,378,8,0,0,386
Write In Votes,U.S. House,12,,Bradford,SAYRE BOROUGH 2ND,2,0,0,0,2
Carrie Heath,State House,68,DEM,Bradford,SAYRE BOROUGH 2ND,,,,,
Clint Owlet,State House,68,REP,Bradford,SAYRE BOROUGH 2ND,,,,,
Write In Votes,State House,68,,Bradford,SAYRE BOROUGH 2ND,,,,,
Donna Iannone,State House,110,DEM,Bradford,SAYRE BOROUGH 2ND,251,6,0,0,257
Tina Pickett,State House,110,REP,Bradford,SAYRE BOROUGH 2ND,461,10,0,0,471
Write In Votes,State House,110,,Bradford,SAYRE BOROUGH 2ND,1,0,0,0,1
,Registered Voters,,,Bradford,SAYRE BOROUGH 3RD,296,296,296,296,296
,Ballots Cast,,,Bradford,SAYRE BOROUGH 3RD,137,2,0,0,139
,Straight Party,,DEM,Bradford,SAYRE BOROUGH 3RD,35,1,0,0,36
,Straight Party,,REP,Bradford,SAYRE BOROUGH 3RD,46,1,0,0,47
,Straight Party,,GRN,Bradford,SAYRE BOROUGH 3RD,0,0,0,0,0
,Straight Party,,LIB,Bradford,SAYRE BOROUGH 3RD,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SAYRE BOROUGH 3RD,67,1,0,0,68
Lou Barletta,U.S. Senate,,REP,Bradford,SAYRE BOROUGH 3RD,67,1,0,0,68
Neal Gale,U.S. Senate,,GRN,Bradford,SAYRE BOROUGH 3RD,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SAYRE BOROUGH 3RD,2,0,0,0,2
Write In Votes,U.S. Senate,,,Bradford,SAYRE BOROUGH 3RD,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,SAYRE BOROUGH 3RD,63,1,0,0,64
Wagner/Bartos,Governor,,REP,Bradford,SAYRE BOROUGH 3RD,71,1,0,0,72
Glover/Bostick,Governor,,GRN,Bradford,SAYRE BOROUGH 3RD,1,0,0,0,1
Krawchuk /Smith,Governor,,LIB,Bradford,SAYRE BOROUGH 3RD,1,0,0,0,1
Write In Votes,Governor,,,Bradford,SAYRE BOROUGH 3RD,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,SAYRE BOROUGH 3RD,56,1,0,0,57
Tom Marino,U.S. House,12,REP,Bradford,SAYRE BOROUGH 3RD,77,1,0,0,78
Write In Votes,U.S. House,12,,Bradford,SAYRE BOROUGH 3RD,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,SAYRE BOROUGH 3RD,,,,,
Clint Owlet,State House,68,REP,Bradford,SAYRE BOROUGH 3RD,,,,,
Write In Votes,State House,68,,Bradford,SAYRE BOROUGH 3RD,,,,,
Donna Iannone,State House,110,DEM,Bradford,SAYRE BOROUGH 3RD,44,1,0,0,45
Tina Pickett,State House,110,REP,Bradford,SAYRE BOROUGH 3RD,92,1,0,0,93
Write In Votes,State House,110,,Bradford,SAYRE BOROUGH 3RD,0,0,0,0,0
,Registered Voters,,,Bradford,SAYRE BOROUGH 4TH,835,835,835,835,835
,Ballots Cast,,,Bradford,SAYRE BOROUGH 4TH,456,14,3,0,473
,Straight Party,,DEM,Bradford,SAYRE BOROUGH 4TH,99,5,2,0,106
,Straight Party,,REP,Bradford,SAYRE BOROUGH 4TH,127,3,1,0,131
,Straight Party,,GRN,Bradford,SAYRE BOROUGH 4TH,0,0,0,0,0
,Straight Party,,LIB,Bradford,SAYRE BOROUGH 4TH,2,0,0,0,2
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SAYRE BOROUGH 4TH,239,10,2,0,251
Lou Barletta,U.S. Senate,,REP,Bradford,SAYRE BOROUGH 4TH,194,4,1,0,199
Neal Gale,U.S. Senate,,GRN,Bradford,SAYRE BOROUGH 4TH,6,0,0,0,6
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SAYRE BOROUGH 4TH,13,0,0,,13
Write In Votes,U.S. Senate,,,Bradford,SAYRE BOROUGH 4TH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,SAYRE BOROUGH 4TH,238,11,2,0,251
Wagner/Bartos,Governor,,REP,Bradford,SAYRE BOROUGH 4TH,203,3,1,0,207
Glover/Bostick,Governor,,GRN,Bradford,SAYRE BOROUGH 4TH,2,0,0,0,2
Krawchuk /Smith,Governor,,LIB,Bradford,SAYRE BOROUGH 4TH,11,0,0,0,11
Write In Votes,Governor,,,Bradford,SAYRE BOROUGH 4TH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,SAYRE BOROUGH 4TH,221,10,2,0,233
Tom Marino,U.S. House,12,REP,Bradford,SAYRE BOROUGH 4TH,224,4,1,0,229
Write In Votes,U.S. House,12,,Bradford,SAYRE BOROUGH 4TH,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,SAYRE BOROUGH 4TH,,,,,
Clint Owlet,State House,68,REP,Bradford,SAYRE BOROUGH 4TH,,,,,
Write In Votes,State House,68,,Bradford,SAYRE BOROUGH 4TH,,,,,
Donna Iannone,State House,110,DEM,Bradford,SAYRE BOROUGH 4TH,176,10,2,0,188
Tina Pickett,State House,110,REP,Bradford,SAYRE BOROUGH 4TH,277,4,1,0,282
Write In Votes,State House,110,,Bradford,SAYRE BOROUGH 4TH,0,0,0,0,0
,Registered Voters,,,Bradford,SAYRE BOROUGH 5TH,180,180,180,180,180
,Ballots Cast,,,Bradford,SAYRE BOROUGH 5TH,80,1,0,0,81
,Straight Party,,DEM,Bradford,SAYRE BOROUGH 5TH,21,1,0,0,22
,Straight Party,,REP,Bradford,SAYRE BOROUGH 5TH,35,0,0,0,35
,Straight Party,,GRN,Bradford,SAYRE BOROUGH 5TH,0,0,0,0,0
,Straight Party,,LIB,Bradford,SAYRE BOROUGH 5TH,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SAYRE BOROUGH 5TH,40,1,0,0,41
Lou Barletta,U.S. Senate,,REP,Bradford,SAYRE BOROUGH 5TH,38,0,0,0,38
Neal Gale,U.S. Senate,,GRN,Bradford,SAYRE BOROUGH 5TH,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SAYRE BOROUGH 5TH,1,0,0,0,1
Write In Votes,U.S. Senate,,,Bradford,SAYRE BOROUGH 5TH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,SAYRE BOROUGH 5TH,39,1,0,0,40
Wagner/Bartos,Governor,,REP,Bradford,SAYRE BOROUGH 5TH,39,0,0,0,39
Glover/Bostick,Governor,,GRN,Bradford,SAYRE BOROUGH 5TH,0,0,0,0,0
Krawchuk /Smith,Governor,,LIB,Bradford,SAYRE BOROUGH 5TH,1,0,0,0,1
Write In Votes,Governor,,,Bradford,SAYRE BOROUGH 5TH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,SAYRE BOROUGH 5TH,34,1,0,0,35
Tom Marino,U.S. House,12,REP,Bradford,SAYRE BOROUGH 5TH,45,0,0,0,45
Write In Votes,U.S. House,12,,Bradford,SAYRE BOROUGH 5TH,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,SAYRE BOROUGH 5TH,,,,,
Clint Owlet,State House,68,REP,Bradford,SAYRE BOROUGH 5TH,,,,,
Write In Votes,State House,68,,Bradford,SAYRE BOROUGH 5TH,,,,,
Donna Iannone,State House,110,DEM,Bradford,SAYRE BOROUGH 5TH,24,1,0,0,25
Tina Pickett,State House,110,REP,Bradford,SAYRE BOROUGH 5TH,56,0,0,0,56
Write In Votes,State House,110,,Bradford,SAYRE BOROUGH 5TH,0,0,0,0,0
,Registered Voters,,,Bradford,SHESHEQUIN TOWNSHIP,806,806,806,806,806
,Ballots Cast,,,Bradford,SHESHEQUIN TOWNSHIP,423,21,1,0,445
,Straight Party,,DEM,Bradford,SHESHEQUIN TOWNSHIP,37,2,1,0,40
,Straight Party,,REP,Bradford,SHESHEQUIN TOWNSHIP,188,15,0,0,203
,Straight Party,,GRN,Bradford,SHESHEQUIN TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,SHESHEQUIN TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SHESHEQUIN TOWNSHIP,115,3,1,0,119
Lou Barletta,U.S. Senate,,REP,Bradford,SHESHEQUIN TOWNSHIP,295,18,0,0,313
Neal Gale,U.S. Senate,,GRN,Bradford,SHESHEQUIN TOWNSHIP,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SHESHEQUIN TOWNSHIP,3,0,0,0,3
Write In Votes,U.S. Senate,,,Bradford,SHESHEQUIN TOWNSHIP,1,0,0,0,1
Wolf/Fetterman,Governor,,DEM,Bradford,SHESHEQUIN TOWNSHIP,104,3,1,0,108
Wagner/Bartos,Governor,,REP,Bradford,SHESHEQUIN TOWNSHIP,301,18,0,0,319
Glover/Bostick,Governor,,GRN,Bradford,SHESHEQUIN TOWNSHIP,7,0,0,0,7
