candidate,office,district,party,county,precinct,votes,election_night,absentee
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0024 ELLWOOD CITY BORO W4 D2,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0024 ELLWOOD CITY BORO W4 D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0024 ELLWOOD CITY BORO W4 D2,197,188.0,9.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0024 ELLWOOD CITY BORO W4 D2,166,158.0,8.0
PAUL GLOVER,Governor,,GRN,Lawrence,0024 ELLWOOD CITY BORO W4 D2,8,8.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0024 ELLWOOD CITY BORO W4 D2,2,2.0,0.0
WRITE-IN,Governor,,,Lawrence,0024 ELLWOOD CITY BORO W4 D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0024 ELLWOOD CITY BORO W4 D2,188,180.0,8.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0024 ELLWOOD CITY BORO W4 D2,181,172.0,9.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0024 ELLWOOD CITY BORO W4 D2,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0024 ELLWOOD CITY BORO W4 D2,1,1.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0024 ELLWOOD CITY BORO W4 D2,256,241.0,15.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0024 ELLWOOD CITY BORO W4 D2,114,112.0,2.0
WRITE-IN,State House,10.0,,Lawrence,0024 ELLWOOD CITY BORO W4 D2,2,2.0,0.0
,Registered Voters,,,Lawrence,0025 ELLWOOD CITY BORO W5 D1,517,,
,Ballots Cast,,,Lawrence,0025 ELLWOOD CITY BORO W5 D1,364,347.0,17.0
,Straight Party,,DEM,Lawrence,0025 ELLWOOD CITY BORO W5 D1,45,44.0,1.0
,Straight Party,,REP,Lawrence,0025 ELLWOOD CITY BORO W5 D1,76,74.0,2.0
,Straight Party,,GRN,Lawrence,0025 ELLWOOD CITY BORO W5 D1,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0025 ELLWOOD CITY BORO W5 D1,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0025 ELLWOOD CITY BORO W5 D1,209,199.0,10.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0025 ELLWOOD CITY BORO W5 D1,146,140.0,6.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0025 ELLWOOD CITY BORO W5 D1,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0025 ELLWOOD CITY BORO W5 D1,6,5.0,1.0
WRITE-IN,U.S. Senate,,,Lawrence,0025 ELLWOOD CITY BORO W5 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0025 ELLWOOD CITY BORO W5 D1,217,206.0,11.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0025 ELLWOOD CITY BORO W5 D1,138,132.0,6.0
PAUL GLOVER,Governor,,GRN,Lawrence,0025 ELLWOOD CITY BORO W5 D1,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0025 ELLWOOD CITY BORO W5 D1,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0025 ELLWOOD CITY BORO W5 D1,3,3.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0025 ELLWOOD CITY BORO W5 D1,175,165.0,10.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0025 ELLWOOD CITY BORO W5 D1,178,172.0,6.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0025 ELLWOOD CITY BORO W5 D1,5,4.0,1.0
WRITE-IN,U.S. House,16.0,,Lawrence,0025 ELLWOOD CITY BORO W5 D1,1,1.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0025 ELLWOOD CITY BORO W5 D1,211,203.0,8.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0025 ELLWOOD CITY BORO W5 D1,147,139.0,8.0
WRITE-IN,State House,10.0,,Lawrence,0025 ELLWOOD CITY BORO W5 D1,2,2.0,0.0
,Registered Voters,,,Lawrence,0026 ELLWOOD CITY BORO W5 D2,833,,
,Ballots Cast,,,Lawrence,0026 ELLWOOD CITY BORO W5 D2,551,536.0,13.0
,Straight Party,,DEM,Lawrence,0026 ELLWOOD CITY BORO W5 D2,92,87.0,5.0
,Straight Party,,REP,Lawrence,0026 ELLWOOD CITY BORO W5 D2,149,144.0,5.0
,Straight Party,,GRN,Lawrence,0026 ELLWOOD CITY BORO W5 D2,2,2.0,0.0
,Straight Party,,LIB,Lawrence,0026 ELLWOOD CITY BORO W5 D2,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0026 ELLWOOD CITY BORO W5 D2,294,286.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0026 ELLWOOD CITY BORO W5 D2,241,234.0,5.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0026 ELLWOOD CITY BORO W5 D2,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0026 ELLWOOD CITY BORO W5 D2,4,4.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0026 ELLWOOD CITY BORO W5 D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0026 ELLWOOD CITY BORO W5 D2,310,302.0,8.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0026 ELLWOOD CITY BORO W5 D2,230,223.0,5.0
PAUL GLOVER,Governor,,GRN,Lawrence,0026 ELLWOOD CITY BORO W5 D2,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0026 ELLWOOD CITY BORO W5 D2,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0026 ELLWOOD CITY BORO W5 D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0026 ELLWOOD CITY BORO W5 D2,285,277.0,8.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0026 ELLWOOD CITY BORO W5 D2,249,242.0,5.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0026 ELLWOOD CITY BORO W5 D2,7,7.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0026 ELLWOOD CITY BORO W5 D2,1,1.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0026 ELLWOOD CITY BORO W5 D2,365,353.0,10.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0026 ELLWOOD CITY BORO W5 D2,175,172.0,3.0
WRITE-IN,State House,10.0,,Lawrence,0026 ELLWOOD CITY BORO W5 D2,2,2.0,0.0
,Registered Voters,,,Lawrence,0027 ENON VALLEY BORO,188,,
,Ballots Cast,,,Lawrence,0027 ENON VALLEY BORO,112,111.0,1.0
,Straight Party,,DEM,Lawrence,0027 ENON VALLEY BORO,21,21.0,0.0
,Straight Party,,REP,Lawrence,0027 ENON VALLEY BORO,47,46.0,1.0
,Straight Party,,GRN,Lawrence,0027 ENON VALLEY BORO,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0027 ENON VALLEY BORO,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0027 ENON VALLEY BORO,35,35.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0027 ENON VALLEY BORO,71,70.0,1.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0027 ENON VALLEY BORO,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0027 ENON VALLEY BORO,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0027 ENON VALLEY BORO,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0027 ENON VALLEY BORO,41,41.0,0.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0027 ENON VALLEY BORO,66,65.0,1.0
PAUL GLOVER,Governor,,GRN,Lawrence,0027 ENON VALLEY BORO,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0027 ENON VALLEY BORO,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0027 ENON VALLEY BORO,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0027 ENON VALLEY BORO,31,31.0,0.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0027 ENON VALLEY BORO,77,76.0,1.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0027 ENON VALLEY BORO,3,3.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0027 ENON VALLEY BORO,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0027 ENON VALLEY BORO,105,104.0,1.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0027 ENON VALLEY BORO,6,6.0,0.0
WRITE-IN,State House,10.0,,Lawrence,0027 ENON VALLEY BORO,0,0.0,0.0
,Registered Voters,,,Lawrence,0028 NEW BEAVER BORO,841,,
,Ballots Cast,,,Lawrence,0028 NEW BEAVER BORO,521,494.0,23.0
,Straight Party,,DEM,Lawrence,0028 NEW BEAVER BORO,73,67.0,6.0
,Straight Party,,REP,Lawrence,0028 NEW BEAVER BORO,232,221.0,10.0
,Straight Party,,GRN,Lawrence,0028 NEW BEAVER BORO,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0028 NEW BEAVER BORO,2,2.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0028 NEW BEAVER BORO,165,157.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0028 NEW BEAVER BORO,342,324.0,14.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0028 NEW BEAVER BORO,0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0028 NEW BEAVER BORO,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0028 NEW BEAVER BORO,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0028 NEW BEAVER BORO,169,162.0,7.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0028 NEW BEAVER BORO,336,319.0,13.0
PAUL GLOVER,Governor,,GRN,Lawrence,0028 NEW BEAVER BORO,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0028 NEW BEAVER BORO,5,5.0,0.0
WRITE-IN,Governor,,,Lawrence,0028 NEW BEAVER BORO,1,0.0,1.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0028 NEW BEAVER BORO,146,139.0,7.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0028 NEW BEAVER BORO,361,342.0,15.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0028 NEW BEAVER BORO,3,3.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0028 NEW BEAVER BORO,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0028 NEW BEAVER BORO,459,434.0,21.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0028 NEW BEAVER BORO,50,48.0,2.0
WRITE-IN,State House,10.0,,Lawrence,0028 NEW BEAVER BORO,1,1.0,0.0
,Registered Voters,,,Lawrence,0029 NEW WILMINGTON BORO,1046,,
,Ballots Cast,,,Lawrence,0029 NEW WILMINGTON BORO,598,550.0,44.0
,Straight Party,,DEM,Lawrence,0029 NEW WILMINGTON BORO,149,133.0,14.0
,Straight Party,,REP,Lawrence,0029 NEW WILMINGTON BORO,184,167.0,17.0
,Straight Party,,GRN,Lawrence,0029 NEW WILMINGTON BORO,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0029 NEW WILMINGTON BORO,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0029 NEW WILMINGTON BORO,312,284.0,25.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0029 NEW WILMINGTON BORO,275,256.0,19.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0029 NEW WILMINGTON BORO,3,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0029 NEW WILMINGTON BORO,4,4.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0029 NEW WILMINGTON BORO,1,1.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0029 NEW WILMINGTON BORO,321,293.0,25.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0029 NEW WILMINGTON BORO,264,246.0,18.0
PAUL GLOVER,Governor,,GRN,Lawrence,0029 NEW WILMINGTON BORO,3,2.0,1.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0029 NEW WILMINGTON BORO,6,6.0,0.0
WRITE-IN,Governor,,,Lawrence,0029 NEW WILMINGTON BORO,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0029 NEW WILMINGTON BORO,288,263.0,21.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0029 NEW WILMINGTON BORO,302,279.0,23.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0029 NEW WILMINGTON BORO,6,6.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0029 NEW WILMINGTON BORO,1,1.0,0.0
PARKE WENTLING,State House,17.0,REP,Lawrence,0029 NEW WILMINGTON BORO,415,388.0,27.0
WRITE-IN,State House,17.0,,Lawrence,0029 NEW WILMINGTON BORO,43,40.0,1.0
,Registered Voters,,,Lawrence,0030 S.N.P.J. BORO,6,,
,Ballots Cast,,,Lawrence,0030 S.N.P.J. BORO,7,5.0,2.0
,Straight Party,,DEM,Lawrence,0030 S.N.P.J. BORO,3,2.0,1.0
,Straight Party,,REP,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
,Straight Party,,GRN,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0030 S.N.P.J. BORO,5,4.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0030 S.N.P.J. BORO,2,1.0,1.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0030 S.N.P.J. BORO,4,3.0,1.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0030 S.N.P.J. BORO,3,2.0,1.0
PAUL GLOVER,Governor,,GRN,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
WRITE-IN,Governor,,,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0030 S.N.P.J. BORO,4,3.0,1.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0030 S.N.P.J. BORO,3,2.0,1.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0030 S.N.P.J. BORO,6,4.0,2.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0030 S.N.P.J. BORO,1,1.0,0.0
WRITE-IN,State House,9.0,,Lawrence,0030 S.N.P.J. BORO,0,0.0,0.0
,Registered Voters,,,Lawrence,0031 SOUTH NEW CASTLE BORO,409,,
,Ballots Cast,,,Lawrence,0031 SOUTH NEW CASTLE BORO,235,230.0,4.0
,Straight Party,,DEM,Lawrence,0031 SOUTH NEW CASTLE BORO,65,65.0,0.0
,Straight Party,,REP,Lawrence,0031 SOUTH NEW CASTLE BORO,89,87.0,2.0
,Straight Party,,GRN,Lawrence,0031 SOUTH NEW CASTLE BORO,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0031 SOUTH NEW CASTLE BORO,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0031 SOUTH NEW CASTLE BORO,99,97.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0031 SOUTH NEW CASTLE BORO,132,129.0,3.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0031 SOUTH NEW CASTLE BORO,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0031 SOUTH NEW CASTLE BORO,1,1.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0031 SOUTH NEW CASTLE BORO,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0031 SOUTH NEW CASTLE BORO,98,97.0,1.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0031 SOUTH NEW CASTLE BORO,130,127.0,3.0
PAUL GLOVER,Governor,,GRN,Lawrence,0031 SOUTH NEW CASTLE BORO,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0031 SOUTH NEW CASTLE BORO,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0031 SOUTH NEW CASTLE BORO,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0031 SOUTH NEW CASTLE BORO,93,92.0,0.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0031 SOUTH NEW CASTLE BORO,139,135.0,4.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0031 SOUTH NEW CASTLE BORO,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0031 SOUTH NEW CASTLE BORO,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0031 SOUTH NEW CASTLE BORO,119,117.0,2.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0031 SOUTH NEW CASTLE BORO,112,110.0,2.0
WRITE-IN,State House,9.0,,Lawrence,0031 SOUTH NEW CASTLE BORO,0,0.0,0.0
,Registered Voters,,,Lawrence,0032 VOLANT BORO,102,,
,Ballots Cast,,,Lawrence,0032 VOLANT BORO,66,66.0,0.0
,Straight Party,,DEM,Lawrence,0032 VOLANT BORO,13,13.0,0.0
,Straight Party,,REP,Lawrence,0032 VOLANT BORO,25,25.0,0.0
,Straight Party,,GRN,Lawrence,0032 VOLANT BORO,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0032 VOLANT BORO,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0032 VOLANT BORO,24,24.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0032 VOLANT BORO,40,40.0,0.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0032 VOLANT BORO,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0032 VOLANT BORO,0,0.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0032 VOLANT BORO,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0032 VOLANT BORO,26,26.0,0.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0032 VOLANT BORO,39,39.0,0.0
PAUL GLOVER,Governor,,GRN,Lawrence,0032 VOLANT BORO,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0032 VOLANT BORO,0,0.0,0.0
WRITE-IN,Governor,,,Lawrence,0032 VOLANT BORO,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0032 VOLANT BORO,23,23.0,0.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0032 VOLANT BORO,43,43.0,0.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0032 VOLANT BORO,0,0.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0032 VOLANT BORO,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0032 VOLANT BORO,63,63.0,0.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0032 VOLANT BORO,3,3.0,0.0
WRITE-IN,State House,10.0,,Lawrence,0032 VOLANT BORO,0,0.0,0.0
,Registered Voters,,,Lawrence,0033 WAMPUM BORO,402,,
,Ballots Cast,,,Lawrence,0033 WAMPUM BORO,228,224.0,4.0
,Straight Party,,DEM,Lawrence,0033 WAMPUM BORO,57,55.0,2.0
,Straight Party,,REP,Lawrence,0033 WAMPUM BORO,67,67.0,0.0
,Straight Party,,GRN,Lawrence,0033 WAMPUM BORO,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0033 WAMPUM BORO,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0033 WAMPUM BORO,113,109.0,4.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0033 WAMPUM BORO,113,113.0,0.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0033 WAMPUM BORO,0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0033 WAMPUM BORO,0,0.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0033 WAMPUM BORO,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0033 WAMPUM BORO,113,109.0,4.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0033 WAMPUM BORO,111,111.0,0.0
PAUL GLOVER,Governor,,GRN,Lawrence,0033 WAMPUM BORO,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0033 WAMPUM BORO,1,1.0,0.0
WRITE-IN,Governor,,,Lawrence,0033 WAMPUM BORO,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0033 WAMPUM BORO,97,94.0,3.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0033 WAMPUM BORO,122,121.0,1.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0033 WAMPUM BORO,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0033 WAMPUM BORO,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0033 WAMPUM BORO,191,188.0,3.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0033 WAMPUM BORO,33,33.0,0.0
WRITE-IN,State House,10.0,,Lawrence,0033 WAMPUM BORO,0,0.0,0.0
,Registered Voters,,,Lawrence,0034 HICKORY TWP D1,725,,
,Ballots Cast,,,Lawrence,0034 HICKORY TWP D1,489,470.0,19.0
,Straight Party,,DEM,Lawrence,0034 HICKORY TWP D1,73,69.0,4.0
,Straight Party,,REP,Lawrence,0034 HICKORY TWP D1,219,210.0,9.0
,Straight Party,,GRN,Lawrence,0034 HICKORY TWP D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0034 HICKORY TWP D1,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0034 HICKORY TWP D1,134,129.0,5.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0034 HICKORY TWP D1,338,324.0,14.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0034 HICKORY TWP D1,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0034 HICKORY TWP D1,7,7.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0034 HICKORY TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0034 HICKORY TWP D1,151,146.0,5.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0034 HICKORY TWP D1,325,311.0,14.0
PAUL GLOVER,Governor,,GRN,Lawrence,0034 HICKORY TWP D1,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0034 HICKORY TWP D1,7,7.0,0.0
WRITE-IN,Governor,,,Lawrence,0034 HICKORY TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0034 HICKORY TWP D1,128,122.0,6.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0034 HICKORY TWP D1,348,335.0,13.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0034 HICKORY TWP D1,8,8.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0034 HICKORY TWP D1,1,1.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0034 HICKORY TWP D1,212,205.0,7.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0034 HICKORY TWP D1,270,258.0,12.0
WRITE-IN,State House,9.0,,Lawrence,0034 HICKORY TWP D1,2,2.0,0.0
,Registered Voters,,,Lawrence,0035 HICKORY TWP D2,925,,
,Ballots Cast,,,Lawrence,0035 HICKORY TWP D2,625,604.0,19.0
,Straight Party,,DEM,Lawrence,0035 HICKORY TWP D2,117,111.0,6.0
,Straight Party,,REP,Lawrence,0035 HICKORY TWP D2,236,228.0,6.0
,Straight Party,,GRN,Lawrence,0035 HICKORY TWP D2,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0035 HICKORY TWP D2,2,2.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0035 HICKORY TWP D2,220,211.0,9.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0035 HICKORY TWP D2,392,380.0,10.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0035 HICKORY TWP D2,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0035 HICKORY TWP D2,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0035 HICKORY TWP D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0035 HICKORY TWP D2,236,226.0,10.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0035 HICKORY TWP D2,368,357.0,9.0
PAUL GLOVER,Governor,,GRN,Lawrence,0035 HICKORY TWP D2,7,7.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0035 HICKORY TWP D2,9,9.0,0.0
WRITE-IN,Governor,,,Lawrence,0035 HICKORY TWP D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0035 HICKORY TWP D2,218,209.0,9.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0035 HICKORY TWP D2,396,384.0,10.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0035 HICKORY TWP D2,6,6.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0035 HICKORY TWP D2,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0035 HICKORY TWP D2,310,297.0,13.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0035 HICKORY TWP D2,310,302.0,6.0
WRITE-IN,State House,9.0,,Lawrence,0035 HICKORY TWP D2,0,0.0,0.0
,Registered Voters,,,Lawrence,0036 LITTLE BEAVER TWP,725,,
,Ballots Cast,,,Lawrence,0036 LITTLE BEAVER TWP,453,449.0,4.0
,Straight Party,,DEM,Lawrence,0036 LITTLE BEAVER TWP,53,53.0,0.0
,Straight Party,,REP,Lawrence,0036 LITTLE BEAVER TWP,216,214.0,2.0
,Straight Party,,GRN,Lawrence,0036 LITTLE BEAVER TWP,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0036 LITTLE BEAVER TWP,2,2.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0036 LITTLE BEAVER TWP,119,118.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0036 LITTLE BEAVER TWP,319,316.0,3.0
