candidate,office,district,party,county,precinct,votes,election_day,absentee,provisional
KEN V KRAWCHUK,Governor,,LIB,Venango,Oilcreek Twp,2,2.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Oilcreek Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Oilcreek Twp,64,64.0,0.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Oilcreek Twp,264,258.0,6.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Oilcreek Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Oilcreek Twp,71,69.0,2.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Oilcreek Twp,259,255.0,4.0,0.0
WRITE-IN,State House,64.0,,Venango,Oilcreek Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Pinegrove Twp,803,,,
,Ballots Cast,,,Venango,Pinegrove Twp,527,510.0,17.0,0.0
,Straight Party,,DEM,Venango,Pinegrove Twp,41,37.0,4.0,0.0
,Straight Party,,REP,Venango,Pinegrove Twp,234,225.0,9.0,0.0
,Straight Party,,GRN,Venango,Pinegrove Twp,2,2.0,0.0,0.0
,Straight Party,,LIB,Venango,Pinegrove Twp,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Pinegrove Twp,138,132.0,6.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Pinegrove Twp,369,358.0,11.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Pinegrove Twp,5,5.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Pinegrove Twp,9,9.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Pinegrove Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Pinegrove Twp,160,154.0,6.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Pinegrove Twp,346,335.0,11.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Pinegrove Twp,6,6.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Pinegrove Twp,12,12.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Pinegrove Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Pinegrove Twp,113,109.0,4.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Pinegrove Twp,405,392.0,13.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Pinegrove Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Pinegrove Twp,115,111.0,4.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Pinegrove Twp,409,396.0,13.0,0.0
WRITE-IN,State House,64.0,,Venango,Pinegrove Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Pleasantville Boro,532,,,
,Ballots Cast,,,Venango,Pleasantville Boro,331,318.0,13.0,0.0
,Straight Party,,DEM,Venango,Pleasantville Boro,53,51.0,2.0,0.0
,Straight Party,,REP,Venango,Pleasantville Boro,147,140.0,7.0,0.0
,Straight Party,,GRN,Venango,Pleasantville Boro,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Pleasantville Boro,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Pleasantville Boro,103,99.0,4.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Pleasantville Boro,219,210.0,9.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Pleasantville Boro,1,1.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Pleasantville Boro,3,3.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Pleasantville Boro,1,1.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Pleasantville Boro,109,107.0,2.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Pleasantville Boro,209,200.0,9.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Pleasantville Boro,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Pleasantville Boro,4,4.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Pleasantville Boro,1,1.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Pleasantville Boro,90,85.0,5.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Pleasantville Boro,237,229.0,8.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Pleasantville Boro,1,1.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Pleasantville Boro,98,95.0,3.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Pleasantville Boro,228,220.0,8.0,0.0
WRITE-IN,State House,64.0,,Venango,Pleasantville Boro,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Plum Twp,586,,,
,Ballots Cast,,,Venango,Plum Twp,374,365.0,9.0,0.0
,Straight Party,,DEM,Venango,Plum Twp,35,32.0,3.0,0.0
,Straight Party,,REP,Venango,Plum Twp,154,150.0,4.0,0.0
,Straight Party,,GRN,Venango,Plum Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Plum Twp,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Plum Twp,118,113.0,5.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Plum Twp,244,240.0,4.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Plum Twp,0,0.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Plum Twp,4,4.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Plum Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Plum Twp,119,116.0,3.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Plum Twp,243,238.0,5.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Plum Twp,3,3.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Plum Twp,6,5.0,1.0,0.0
WRITE-IN,Governor,,,Venango,Plum Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Plum Twp,91,87.0,4.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Plum Twp,279,274.0,5.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Plum Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Plum Twp,92,88.0,4.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Plum Twp,281,276.0,5.0,0.0
WRITE-IN,State House,64.0,,Venango,Plum Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Polk Boro,286,,,
,Ballots Cast,,,Venango,Polk Boro,157,154.0,3.0,0.0
,Straight Party,,DEM,Venango,Polk Boro,31,31.0,0.0,0.0
,Straight Party,,REP,Venango,Polk Boro,54,52.0,2.0,0.0
,Straight Party,,GRN,Venango,Polk Boro,2,2.0,0.0,0.0
,Straight Party,,LIB,Venango,Polk Boro,2,2.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Polk Boro,60,60.0,0.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Polk Boro,89,86.0,3.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Polk Boro,3,3.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Polk Boro,4,4.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Polk Boro,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Polk Boro,63,63.0,0.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Polk Boro,86,83.0,3.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Polk Boro,4,4.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Polk Boro,4,4.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Polk Boro,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Polk Boro,52,52.0,0.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Polk Boro,102,99.0,3.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Polk Boro,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Polk Boro,47,47.0,0.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Polk Boro,109,106.0,3.0,0.0
WRITE-IN,State House,64.0,,Venango,Polk Boro,0,0.0,0.0,0.0
,Registered Voters,,,Venango,President Twp,363,,,
,Ballots Cast,,,Venango,President Twp,234,209.0,22.0,3.0
,Straight Party,,DEM,Venango,President Twp,45,38.0,6.0,1.0
,Straight Party,,REP,Venango,President Twp,71,60.0,10.0,1.0
,Straight Party,,GRN,Venango,President Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,President Twp,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,President Twp,92,84.0,6.0,2.0
LOU BARLETTA,U.S. Senate,,REP,Venango,President Twp,133,116.0,16.0,1.0
NEAL GALE,U.S. Senate,,GRN,Venango,President Twp,2,2.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,President Twp,3,3.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,President Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,President Twp,98,90.0,6.0,2.0
SCOTT R WAGNER,Governor,,REP,Venango,President Twp,127,110.0,16.0,1.0
PAUL GLOVER,Governor,,GRN,Venango,President Twp,4,4.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,President Twp,3,3.0,0.0,0.0
WRITE-IN,Governor,,,Venango,President Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,President Twp,84,76.0,6.0,2.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,President Twp,146,129.0,16.0,1.0
WRITE-IN,U.S. House,15.0,,Venango,President Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,President Twp,94,84.0,7.0,3.0
R. LEE JAMES,State House,64.0,REP,Venango,President Twp,139,124.0,15.0,0.0
WRITE-IN,State House,64.0,,Venango,President Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Richland Twp,455,,,
,Ballots Cast,,,Venango,Richland Twp,320,311.0,9.0,0.0
,Straight Party,,DEM,Venango,Richland Twp,20,20.0,0.0,0.0
,Straight Party,,REP,Venango,Richland Twp,129,124.0,5.0,0.0
,Straight Party,,GRN,Venango,Richland Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Richland Twp,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Richland Twp,82,81.0,1.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Richland Twp,228,221.0,7.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Richland Twp,2,1.0,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Richland Twp,2,2.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Richland Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Richland Twp,94,92.0,2.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Richland Twp,222,215.0,7.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Richland Twp,0,0.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Richland Twp,2,2.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Richland Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Richland Twp,60,58.0,2.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Richland Twp,258,251.0,7.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Richland Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Richland Twp,63,61.0,2.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Richland Twp,256,249.0,7.0,0.0
WRITE-IN,State House,64.0,,Venango,Richland Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Rockland Twp 1,706,,,
,Ballots Cast,,,Venango,Rockland Twp 1,456,420.0,36.0,0.0
,Straight Party,,DEM,Venango,Rockland Twp 1,60,55.0,5.0,0.0
,Straight Party,,REP,Venango,Rockland Twp 1,176,164.0,12.0,0.0
,Straight Party,,GRN,Venango,Rockland Twp 1,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Rockland Twp 1,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Rockland Twp 1,161,147.0,14.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Rockland Twp 1,283,263.0,20.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Rockland Twp 1,5,3.0,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Rockland Twp 1,3,3.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Rockland Twp 1,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Rockland Twp 1,165,150.0,15.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Rockland Twp 1,281,163.0,18.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Rockland Twp 1,3,2.0,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Rockland Twp 1,1,1.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Rockland Twp 1,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Rockland Twp 1,136,123.0,13.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Rockland Twp 1,312,289.0,23.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Rockland Twp 1,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Rockland Twp 1,150,136.0,14.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Rockland Twp 1,301,281.0,20.0,0.0
WRITE-IN,State House,64.0,,Venango,Rockland Twp 1,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Rockland Twp 2,158,,,
,Ballots Cast,,,Venango,Rockland Twp 2,93,91.0,2.0,0.0
,Straight Party,,DEM,Venango,Rockland Twp 2,10,9.0,1.0,0.0
,Straight Party,,REP,Venango,Rockland Twp 2,36,35.0,1.0,0.0
,Straight Party,,GRN,Venango,Rockland Twp 2,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Rockland Twp 2,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Rockland Twp 2,33,32.0,1.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Rockland Twp 2,58,57.0,1.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Rockland Twp 2,0,0.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Rockland Twp 2,0,0.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Rockland Twp 2,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Rockland Twp 2,38,37.0,1.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Rockland Twp 2,55,54.0,1.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Rockland Twp 2,0,0.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Rockland Twp 2,0,0.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Rockland Twp 2,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Rockland Twp 2,19,18.0,1.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Rockland Twp 2,70,69.0,1.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Rockland Twp 2,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Rockland Twp 2,20,19.0,1.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Rockland Twp 2,73,72.0,1.0,0.0
WRITE-IN,State House,64.0,,Venango,Rockland Twp 2,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Rouseville Boro,282,,,
,Ballots Cast,,,Venango,Rouseville Boro,155,148.0,7.0,0.0
,Straight Party,,DEM,Venango,Rouseville Boro,30,27.0,3.0,0.0
,Straight Party,,REP,Venango,Rouseville Boro,51,49.0,2.0,0.0
,Straight Party,,GRN,Venango,Rouseville Boro,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Rouseville Boro,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Rouseville Boro,63,58.0,5.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Rouseville Boro,91,89.0,2.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Rouseville Boro,0,0.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Rouseville Boro,0,0.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Rouseville Boro,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Rouseville Boro,64,59.0,5.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Rouseville Boro,89,87.0,2.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Rouseville Boro,0,0.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Rouseville Boro,0,0.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Rouseville Boro,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Rouseville Boro,56,52.0,4.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Rouseville Boro,94,92.0,2.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Rouseville Boro,1,1.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Rouseville Boro,63,59.0,4.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Rouseville Boro,85,83.0,2.0,0.0
WRITE-IN,State House,64.0,,Venango,Rouseville Boro,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Sandycreek Twp,1418,,,
,Ballots Cast,,,Venango,Sandycreek Twp,909,883.0,26.0,0.0
,Straight Party,,DEM,Venango,Sandycreek Twp,140,135.0,5.0,0.0
,Straight Party,,REP,Venango,Sandycreek Twp,319,310.0,9.0,0.0
,Straight Party,,GRN,Venango,Sandycreek Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Sandycreek Twp,4,4.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Sandycreek Twp,352,340.0,12.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Sandycreek Twp,531,517.0,14.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Sandycreek Twp,3,3.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Sandycreek Twp,13,13.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Sandycreek Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Sandycreek Twp,389,376.0,13.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Sandycreek Twp,502,489.0,13.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Sandycreek Twp,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Sandycreek Twp,11,11.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Sandycreek Twp,1,1.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Sandycreek Twp,294,283.0,11.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Sandycreek Twp,597,583.0,14.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Sandycreek Twp,2,2.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Sandycreek Twp,312,302.0,10.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Sandycreek Twp,591,576.0,15.0,0.0
WRITE-IN,State House,64.0,,Venango,Sandycreek Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Scrubgrass Twp,467,,,
,Ballots Cast,,,Venango,Scrubgrass Twp,301,289.0,12.0,0.0
,Straight Party,,DEM,Venango,Scrubgrass Twp,36,34.0,2.0,0.0
,Straight Party,,REP,Venango,Scrubgrass Twp,154,148.0,6.0,0.0
,Straight Party,,GRN,Venango,Scrubgrass Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Scrubgrass Twp,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Scrubgrass Twp,80,77.0,3.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Scrubgrass Twp,214,205.0,9.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Scrubgrass Twp,2,2.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Scrubgrass Twp,1,1.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Scrubgrass Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Scrubgrass Twp,77,74.0,3.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Scrubgrass Twp,220,211.0,9.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Scrubgrass Twp,3,3.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Scrubgrass Twp,1,1.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Scrubgrass Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Scrubgrass Twp,67,64.0,3.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Scrubgrass Twp,232,223.0,9.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Scrubgrass Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Scrubgrass Twp,70,67.0,3.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Scrubgrass Twp,229,221.0,8.0,0.0
WRITE-IN,State House,64.0,,Venango,Scrubgrass Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Sugarcreek Boro 1,1071,,,
,Ballots Cast,,,Venango,Sugarcreek Boro 1,606,576.0,29.0,1.0
,Straight Party,,DEM,Venango,Sugarcreek Boro 1,97,93.0,4.0,0.0
,Straight Party,,REP,Venango,Sugarcreek Boro 1,196,181.0,15.0,0.0
,Straight Party,,GRN,Venango,Sugarcreek Boro 1,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Sugarcreek Boro 1,2,2.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Sugarcreek Boro 1,262,250.0,11.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Sugarcreek Boro 1,321,303.0,18.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Sugarcreek Boro 1,5,5.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Sugarcreek Boro 1,7,7.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Sugarcreek Boro 1,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Sugarcreek Boro 1,279,267.0,11.0,1.0
SCOTT R WAGNER,Governor,,REP,Venango,Sugarcreek Boro 1,314,296.0,18.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Sugarcreek Boro 1,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Sugarcreek Boro 1,7,7.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Sugarcreek Boro 1,1,1.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Sugarcreek Boro 1,207,198.0,9.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Sugarcreek Boro 1,391,370.0,20.0,1.0
WRITE-IN,U.S. House,15.0,,Venango,Sugarcreek Boro 1,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Sugarcreek Boro 1,218,209.0,9.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Sugarcreek Boro 1,382,361.0,20.0,1.0
WRITE-IN,State House,64.0,,Venango,Sugarcreek Boro 1,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Sugarcreek Boro 2,448,,,
,Ballots Cast,,,Venango,Sugarcreek Boro 2,276,265.0,11.0,0.0
,Straight Party,,DEM,Venango,Sugarcreek Boro 2,39,38.0,1.0,0.0
,Straight Party,,REP,Venango,Sugarcreek Boro 2,93,91.0,2.0,0.0
,Straight Party,,GRN,Venango,Sugarcreek Boro 2,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Sugarcreek Boro 2,2,2.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Sugarcreek Boro 2,107,100.0,7.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Sugarcreek Boro 2,160,156.0,4.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Sugarcreek Boro 2,0,0.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Sugarcreek Boro 2,6,6.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Sugarcreek Boro 2,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Sugarcreek Boro 2,115,107.0,8.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Sugarcreek Boro 2,153,150.0,3.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Sugarcreek Boro 2,0,0.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Sugarcreek Boro 2,7,7.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Sugarcreek Boro 2,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Sugarcreek Boro 2,85,78.0,7.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Sugarcreek Boro 2,185,181.0,4.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Sugarcreek Boro 2,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Sugarcreek Boro 2,85,83.0,2.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Sugarcreek Boro 2,189,180.0,9.0,0.0
WRITE-IN,State House,64.0,,Venango,Sugarcreek Boro 2,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Sugarcreek Boro 3,622,,,
,Ballots Cast,,,Venango,Sugarcreek Boro 3,380,359.0,21.0,0.0
,Straight Party,,DEM,Venango,Sugarcreek Boro 3,47,45.0,2.0,0.0
,Straight Party,,REP,Venango,Sugarcreek Boro 3,135,126.0,9.0,0.0
,Straight Party,,GRN,Venango,Sugarcreek Boro 3,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Sugarcreek Boro 3,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Sugarcreek Boro 3,139,131.0,8.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Sugarcreek Boro 3,226,213.0,13.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Sugarcreek Boro 3,4,4.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Sugarcreek Boro 3,2,2.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Sugarcreek Boro 3,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Sugarcreek Boro 3,148,140.0,8.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Sugarcreek Boro 3,221,209.0,12.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Sugarcreek Boro 3,0,0.0,0.0,0.0
