county,precinct,office,district,party,candidate,votes,election_day,provisional,mail
Mifflin,OLIVER,President,,REP,Donald J. Trump,898,793,6,99
Mifflin,OLIVER,President,,LIB,Jo Jorgensen,7,6,0,1
Mifflin,OLIVER,President,,,Write-ins,0,0,0,0
Mifflin,OLIVER,Attorney General,,DEM,JOSH SHAPIRO,178,94,2,82
Mifflin,OLIVER,Attorney General,,REP,HEATHER HEIDELBAUGH,841,747,5,89
Mifflin,OLIVER,Attorney General,,LIB,DANIEL WASSMER,11,10,0,1
Mifflin,OLIVER,Attorney General,,GRE,RICHARD L WEISS,3,2,0,1
Mifflin,OLIVER,Attorney General,,,Write-ins,0,0,0,0
Mifflin,OLIVER,Auditor General,,DEM,NINA AHMAD,138,63,1,74
Mifflin,OLIVER,Auditor General,,REP,TIMOTHY DEFOOR,860,762,5,93
Mifflin,OLIVER,Auditor General,,LIB,JENNIFER MOORE,23,20,0,3
Mifflin,OLIVER,Auditor General,,GRE,OLIVIA FAISON,6,4,1,1
Mifflin,OLIVER,Auditor General,,,Write-ins,0,0,0,0
Mifflin,OLIVER,State Treasurer,,DEM,JOE TORSELLA,147,71,1,75
Mifflin,OLIVER,State Treasurer,,REP,STACY L GARRITY,862,761,5,96
Mifflin,OLIVER,State Treasurer,,LIB,JOE SOLOSKI,19,19,0,0
Mifflin,OLIVER,State Treasurer,,GRE,TIMOTHY RUNKLE,9,6,1,2
Mifflin,OLIVER,State Treasurer,,,Write-ins,1,1,0,0
Mifflin,OLIVER,U.S. House,12,DEM,LEE GRIFFIN,140,63,2,75
Mifflin,OLIVER,U.S. House,12,REP,FRED KELLER,894,791,6,97
Mifflin,OLIVER,U.S. House,12,,Write-ins,0,0,0,0
Mifflin,OLIVER,State House,82,REP,JOHN HERSHEY,945,814,7,124
Mifflin,OLIVER,State House,82,,Write-ins,22,9,1,12
Mifflin,UNION,Registered Voters,,,,1703,,,
Mifflin,UNION,Ballots Cast,,,,1318,966,13,339
Mifflin,UNION,Ballots Cast Blank,,,,0,0,0,0
Mifflin,UNION,President,,DEM,Joseph R. Biden,246,101,2,143
Mifflin,UNION,President,,REP,Donald J. Trump,1053,856,10,187
Mifflin,UNION,President,,LIB,Jo Jorgensen,12,7,0,5
Mifflin,UNION,President,,,Write-ins,3,2,1,0
Mifflin,UNION,Attorney General,,DEM,JOSH SHAPIRO,247,116,1,130
Mifflin,UNION,Attorney General,,REP,HEATHER HEIDELBAUGH,1023,827,10,186
Mifflin,UNION,Attorney General,,LIB,DANIEL WASSMER,23,11,1,11
Mifflin,UNION,Attorney General,,GRE,RICHARD L WEISS,5,3,1,1
Mifflin,UNION,Attorney General,,,Write-ins,0,0,0,0
Mifflin,UNION,Auditor General,,DEM,NINA AHMAD,194,79,2,113
Mifflin,UNION,Auditor General,,REP,TIMOTHY DEFOOR,1056,850,10,196
Mifflin,UNION,Auditor General,,LIB,JENNIFER MOORE,33,20,0,13
Mifflin,UNION,Auditor General,,GRE,OLIVIA FAISON,7,2,1,4
Mifflin,UNION,Auditor General,,,Write-ins,0,0,0,0
Mifflin,UNION,State Treasurer,,DEM,JOE TORSELLA,222,94,2,126
Mifflin,UNION,State Treasurer,,REP,STACY L GARRITY,1032,835,9,188
Mifflin,UNION,State Treasurer,,LIB,JOE SOLOSKI,26,15,0,11
Mifflin,UNION,State Treasurer,,GRE,TIMOTHY RUNKLE,13,9,2,2
Mifflin,UNION,State Treasurer,,,Write-ins,0,0,0,0
Mifflin,UNION,U.S. House,12,DEM,LEE GRIFFIN,222,89,4,129
Mifflin,UNION,U.S. House,12,REP,FRED KELLER,1077,866,9,202
Mifflin,UNION,U.S. House,12,,Write-ins,2,1,0,1
Mifflin,UNION,State House,171,DEM,PETER BUCK,181,79,4,98
Mifflin,UNION,State House,171,REP,KERRY A BENNINGHOFF,1123,881,9,233
Mifflin,UNION,State House,171,,Write-ins,1,0,0,1
Mifflin,WAYNE,Registered Voters,,,,1534,,,
Mifflin,WAYNE,Ballots Cast,,,,1262,1054,16,192
Mifflin,WAYNE,Ballots Cast Blank,,,,0,0,0,0
Mifflin,WAYNE,President,,DEM,Joseph R. Biden,178,76,3,99
Mifflin,WAYNE,President,,REP,Donald J. Trump,1076,972,13,91
Mifflin,WAYNE,President,,LIB,Jo Jorgensen,8,6,0,2
Mifflin,WAYNE,President,,,Write-ins,0,0,0,0
Mifflin,WAYNE,Attorney General,,DEM,JOSH SHAPIRO,195,96,3,96
Mifflin,WAYNE,Attorney General,,REP,HEATHER HEIDELBAUGH,1034,932,13,89
Mifflin,WAYNE,Attorney General,,LIB,DANIEL WASSMER,14,11,0,3
Mifflin,WAYNE,Attorney General,,GRE,RICHARD L WEISS,5,2,0,3
Mifflin,WAYNE,Attorney General,,,Write-ins,1,1,0,0
Mifflin,WAYNE,Auditor General,,DEM,NINA AHMAD,173,81,3,89
Mifflin,WAYNE,Auditor General,,REP,TIMOTHY DEFOOR,1040,935,12,93
Mifflin,WAYNE,Auditor General,,LIB,JENNIFER MOORE,23,17,0,6
Mifflin,WAYNE,Auditor General,,GRE,OLIVIA FAISON,5,1,1,3
Mifflin,WAYNE,Auditor General,,,Write-ins,2,2,0,0
Mifflin,WAYNE,State Treasurer,,DEM,JOE TORSELLA,185,94,3,88
Mifflin,WAYNE,State Treasurer,,REP,STACY L GARRITY,1041,929,13,99
Mifflin,WAYNE,State Treasurer,,LIB,JOE SOLOSKI,13,11,0,2
Mifflin,WAYNE,State Treasurer,,GRE,TIMOTHY RUNKLE,6,4,0,2
Mifflin,WAYNE,State Treasurer,,,Write-ins,1,1,0,0
Mifflin,WAYNE,U.S. House,12,DEM,LEE GRIFFIN,181,83,4,94
Mifflin,WAYNE,U.S. House,12,REP,FRED KELLER,1063,956,12,95
Mifflin,WAYNE,U.S. House,12,,Write-ins,1,1,0,0
Mifflin,WAYNE,State House,81,DEM,IAN M KIDD,186,90,3,93
Mifflin,WAYNE,State House,81,REP,RICH IRVIN,1051,941,12,98
Mifflin,WAYNE,State House,81,,Write-ins,3,3,0,0
