county,precinct,office,district,party,candidate,votes,mail
Northumberland,Shamokin City 2,Attorney General,,GRN,RICHARD L WEISS,4,2
Northumberland,Shamokin City 2,Attorney General,,,Write-ins,0,0
Northumberland,Shamokin City 2,Auditor General,,DEM,NINA AHMAD,76,40
Northumberland,Shamokin City 2,Auditor General,,REP,TIMOTHY DEFOOR,170,18
Northumberland,Shamokin City 2,Auditor General,,LIB,JENNIFER MOORE,19,3
Northumberland,Shamokin City 2,Auditor General,,GRN,OLIVIA FAISON,7,3
Northumberland,Shamokin City 2,Auditor General,,,Write-ins,0,0
Northumberland,Shamokin City 2,State Treasurer,,DEM,JOE TORSELLA,82,43
Northumberland,Shamokin City 2,State Treasurer,,REP,STACY L GARRITY,171,17
Northumberland,Shamokin City 2,State Treasurer,,LIB,JOE SOLOSKI,16,1
Northumberland,Shamokin City 2,State Treasurer,,GRN,TIMOTHY RUNKLE,5,3
Northumberland,Shamokin City 2,State Treasurer,,,Write-ins,0,0
Northumberland,Shamokin City 2,U.S. House,9,DEM,GARY WEGMAN,81,41
Northumberland,Shamokin City 2,U.S. House,9,REP,DAN MEUSER,194,23
Northumberland,Shamokin City 2,U.S. House,9,,Write-ins,0,0
Northumberland,Shamokin City 2,State Senate,27,DEM,MICHELLE SIEGEL,75,37
Northumberland,Shamokin City 2,State Senate,27,REP,JOHN R GORDNER,196,27
Northumberland,Shamokin City 2,State Senate,27,,Write-ins,0,0
Northumberland,Shamokin City 2,State House,107,REP,KURT A MASSER,226,45
Northumberland,Shamokin City 2,State House,107,LIB,RYAN BOURINSKI,46,17
Northumberland,Shamokin City 2,State House,107,,Write-ins,1,0
Northumberland,Shamokin City 3,Registered Voters,,,,319,
Northumberland,Shamokin City 3,Ballots Cast,,,,192,45
Northumberland,Shamokin City 3,Ballots Cast - Blank,,,,1,0
Northumberland,Shamokin City 3,President,,DEM,Joseph R. Biden,68,26
Northumberland,Shamokin City 3,President,,REP,Donald J. Trump,121,19
Northumberland,Shamokin City 3,President,,LIB,Jo Jorgensen,0,0
Northumberland,Shamokin City 3,President,,,Write-ins,1,0
Northumberland,Shamokin City 3,Attorney General,,DEM,JOSH SHAPIRO,83,32
Northumberland,Shamokin City 3,Attorney General,,REP,HEATHER HEIDELBAUGH,97,12
Northumberland,Shamokin City 3,Attorney General,,LIB,DANIEL WASSMER,3,0
Northumberland,Shamokin City 3,Attorney General,,GRN,RICHARD L WEISS,1,0
Northumberland,Shamokin City 3,Attorney General,,,Write-ins,0,0
Northumberland,Shamokin City 3,Auditor General,,DEM,NINA AHMAD,66,26
Northumberland,Shamokin City 3,Auditor General,,REP,TIMOTHY DEFOOR,106,15
Northumberland,Shamokin City 3,Auditor General,,LIB,JENNIFER MOORE,6,1
Northumberland,Shamokin City 3,Auditor General,,GRN,OLIVIA FAISON,1,0
Northumberland,Shamokin City 3,Auditor General,,,Write-ins,0,0
Northumberland,Shamokin City 3,State Treasurer,,DEM,JOE TORSELLA,70,29
Northumberland,Shamokin City 3,State Treasurer,,REP,STACY L GARRITY,103,14
Northumberland,Shamokin City 3,State Treasurer,,LIB,JOE SOLOSKI,4,0
Northumberland,Shamokin City 3,State Treasurer,,GRN,TIMOTHY RUNKLE,2,0
Northumberland,Shamokin City 3,State Treasurer,,,Write-ins,0,0
Northumberland,Shamokin City 3,U.S. House,9,DEM,GARY WEGMAN,63,25
Northumberland,Shamokin City 3,U.S. House,9,REP,DAN MEUSER,120,19
Northumberland,Shamokin City 3,U.S. House,9,,Write-ins,0,0
Northumberland,Shamokin City 3,State Senate,27,DEM,MICHELLE SIEGEL,62,25
Northumberland,Shamokin City 3,State Senate,27,REP,JOHN R GORDNER,120,20
Northumberland,Shamokin City 3,State Senate,27,,Write-ins,0,0
Northumberland,Shamokin City 3,State House,107,REP,KURT A MASSER,140,28
Northumberland,Shamokin City 3,State House,107,LIB,RYAN BOURINSKI,39,15
Northumberland,Shamokin City 3,State House,107,,Write-ins,1,0
Northumberland,Shamokin City 4,Registered Voters,,,,714,
Northumberland,Shamokin City 4,Ballots Cast,,,,425,67
Northumberland,Shamokin City 4,Ballots Cast - Blank,,,,2,0
Northumberland,Shamokin City 4,President,,DEM,Joseph R. Biden,135,40
Northumberland,Shamokin City 4,President,,REP,Donald J. Trump,269,24
Northumberland,Shamokin City 4,President,,LIB,Jo Jorgensen,11,3
Northumberland,Shamokin City 4,President,,,Write-ins,1,0
Northumberland,Shamokin City 4,Attorney General,,DEM,JOSH SHAPIRO,171,37
Northumberland,Shamokin City 4,Attorney General,,REP,HEATHER HEIDELBAUGH,216,21
Northumberland,Shamokin City 4,Attorney General,,LIB,DANIEL WASSMER,8,1
Northumberland,Shamokin City 4,Attorney General,,GRN,RICHARD L WEISS,11,3
Northumberland,Shamokin City 4,Attorney General,,,Write-ins,1,0
Northumberland,Shamokin City 4,Auditor General,,DEM,NINA AHMAD,130,31
Northumberland,Shamokin City 4,Auditor General,,REP,TIMOTHY DEFOOR,226,20
Northumberland,Shamokin City 4,Auditor General,,LIB,JENNIFER MOORE,23,3
Northumberland,Shamokin City 4,Auditor General,,GRN,OLIVIA FAISON,11,4
Northumberland,Shamokin City 4,Auditor General,,,Write-ins,1,0
Northumberland,Shamokin City 4,State Treasurer,,DEM,JOE TORSELLA,137,31
Northumberland,Shamokin City 4,State Treasurer,,REP,STACY L GARRITY,239,24
Northumberland,Shamokin City 4,State Treasurer,,LIB,JOE SOLOSKI,10,1
Northumberland,Shamokin City 4,State Treasurer,,GRN,TIMOTHY RUNKLE,10,3
Northumberland,Shamokin City 4,State Treasurer,,,Write-ins,0,0
Northumberland,Shamokin City 4,U.S. House,9,DEM,GARY WEGMAN,126,31
Northumberland,Shamokin City 4,U.S. House,9,REP,DAN MEUSER,276,29
Northumberland,Shamokin City 4,U.S. House,9,,Write-ins,1,1
Northumberland,Shamokin City 4,State Senate,27,DEM,MICHELLE SIEGEL,130,31
Northumberland,Shamokin City 4,State Senate,27,REP,JOHN R GORDNER,272,28
Northumberland,Shamokin City 4,State Senate,27,,Write-ins,1,1
Northumberland,Shamokin City 4,State House,107,REP,KURT A MASSER,313,38
Northumberland,Shamokin City 4,State House,107,LIB,RYAN BOURINSKI,76,19
Northumberland,Shamokin City 4,State House,107,,Write-ins,8,4
Northumberland,Shamokin City 5,Registered Voters,,,,631,
Northumberland,Shamokin City 5,Ballots Cast,,,,381,92
Northumberland,Shamokin City 5,Ballots Cast - Blank,,,,0,0
Northumberland,Shamokin City 5,President,,DEM,Joseph R. Biden,143,63
Northumberland,Shamokin City 5,President,,REP,Donald J. Trump,232,28
Northumberland,Shamokin City 5,President,,LIB,Jo Jorgensen,4,1
Northumberland,Shamokin City 5,President,,,Write-ins,1,0
Northumberland,Shamokin City 5,Attorney General,,DEM,JOSH SHAPIRO,149,66
Northumberland,Shamokin City 5,Attorney General,,REP,HEATHER HEIDELBAUGH,207,23
Northumberland,Shamokin City 5,Attorney General,,LIB,DANIEL WASSMER,9,1
Northumberland,Shamokin City 5,Attorney General,,GRN,RICHARD L WEISS,10,1
Northumberland,Shamokin City 5,Attorney General,,,Write-ins,0,0
Northumberland,Shamokin City 5,Auditor General,,DEM,NINA AHMAD,136,55
Northumberland,Shamokin City 5,Auditor General,,REP,TIMOTHY DEFOOR,208,30
Northumberland,Shamokin City 5,Auditor General,,LIB,JENNIFER MOORE,17,4
Northumberland,Shamokin City 5,Auditor General,,GRN,OLIVIA FAISON,11,2
Northumberland,Shamokin City 5,Auditor General,,,Write-ins,0,0
Northumberland,Shamokin City 5,State Treasurer,,DEM,JOE TORSELLA,141,61
Northumberland,Shamokin City 5,State Treasurer,,REP,STACY L GARRITY,212,28
Northumberland,Shamokin City 5,State Treasurer,,LIB,JOE SOLOSKI,12,2
Northumberland,Shamokin City 5,State Treasurer,,GRN,TIMOTHY RUNKLE,6,0
Northumberland,Shamokin City 5,State Treasurer,,,Write-ins,0,0
Northumberland,Shamokin City 5,U.S. House,9,DEM,GARY WEGMAN,141,58
Northumberland,Shamokin City 5,U.S. House,9,REP,DAN MEUSER,229,33
Northumberland,Shamokin City 5,U.S. House,9,,Write-ins,1,0
Northumberland,Shamokin City 5,State Senate,27,DEM,MICHELLE SIEGEL,144,58
Northumberland,Shamokin City 5,State Senate,27,REP,JOHN R GORDNER,230,33
Northumberland,Shamokin City 5,State Senate,27,,Write-ins,0,0
Northumberland,Shamokin City 5,State House,107,REP,KURT A MASSER,296,60
Northumberland,Shamokin City 5,State House,107,LIB,RYAN BOURINSKI,68,27
Northumberland,Shamokin City 5,State House,107,,Write-ins,0,0
Northumberland,Shamokin City 6,Registered Voters,,,,408,
Northumberland,Shamokin City 6,Ballots Cast,,,,260,45
Northumberland,Shamokin City 6,Ballots Cast - Blank,,,,0,0
Northumberland,Shamokin City 6,President,,DEM,Joseph R. Biden,89,30
Northumberland,Shamokin City 6,President,,REP,Donald J. Trump,166,14
Northumberland,Shamokin City 6,President,,LIB,Jo Jorgensen,3,0
Northumberland,Shamokin City 6,President,,,Write-ins,0,0
Northumberland,Shamokin City 6,Attorney General,,DEM,JOSH SHAPIRO,99,29
Northumberland,Shamokin City 6,Attorney General,,REP,HEATHER HEIDELBAUGH,145,13
Northumberland,Shamokin City 6,Attorney General,,LIB,DANIEL WASSMER,9,1
Northumberland,Shamokin City 6,Attorney General,,GRN,RICHARD L WEISS,3,0
Northumberland,Shamokin City 6,Attorney General,,,Write-ins,0,0
Northumberland,Shamokin City 6,Auditor General,,DEM,NINA AHMAD,92,29
Northumberland,Shamokin City 6,Auditor General,,REP,TIMOTHY DEFOOR,141,13
Northumberland,Shamokin City 6,Auditor General,,LIB,JENNIFER MOORE,19,1
Northumberland,Shamokin City 6,Auditor General,,GRN,OLIVIA FAISON,2,0
Northumberland,Shamokin City 6,Auditor General,,,Write-ins,0,0
Northumberland,Shamokin City 6,State Treasurer,,DEM,JOE TORSELLA,93,29
Northumberland,Shamokin City 6,State Treasurer,,REP,STACY L GARRITY,145,11
Northumberland,Shamokin City 6,State Treasurer,,LIB,JOE SOLOSKI,10,1
Northumberland,Shamokin City 6,State Treasurer,,GRN,TIMOTHY RUNKLE,3,1
Northumberland,Shamokin City 6,State Treasurer,,,Write-ins,0,0
Northumberland,Shamokin City 6,U.S. House,9,DEM,GARY WEGMAN,84,28
Northumberland,Shamokin City 6,U.S. House,9,REP,DAN MEUSER,169,14
Northumberland,Shamokin City 6,U.S. House,9,,Write-ins,0,0
Northumberland,Shamokin City 6,State Senate,27,DEM,MICHELLE SIEGEL,92,29
Northumberland,Shamokin City 6,State Senate,27,REP,JOHN R GORDNER,161,13
Northumberland,Shamokin City 6,State Senate,27,,Write-ins,0,0
Northumberland,Shamokin City 6,State House,107,REP,KURT A MASSER,201,27
Northumberland,Shamokin City 6,State House,107,LIB,RYAN BOURINSKI,46,12
Northumberland,Shamokin City 6,State House,107,,Write-ins,2,1
Northumberland,Shamokin City 7,Registered Voters,,,,415,
Northumberland,Shamokin City 7,Ballots Cast,,,,223,64
Northumberland,Shamokin City 7,Ballots Cast - Blank,,,,0,0
Northumberland,Shamokin City 7,President,,DEM,Joseph R. Biden,95,41
Northumberland,Shamokin City 7,President,,REP,Donald J. Trump,124,21
Northumberland,Shamokin City 7,President,,LIB,Jo Jorgensen,3,2
Northumberland,Shamokin City 7,President,,,Write-ins,0,0
Northumberland,Shamokin City 7,Attorney General,,DEM,JOSH SHAPIRO,101,42
Northumberland,Shamokin City 7,Attorney General,,REP,HEATHER HEIDELBAUGH,108,17
Northumberland,Shamokin City 7,Attorney General,,LIB,DANIEL WASSMER,2,1
Northumberland,Shamokin City 7,Attorney General,,GRN,RICHARD L WEISS,4,2
Northumberland,Shamokin City 7,Attorney General,,,Write-ins,0,0
Northumberland,Shamokin City 7,Auditor General,,DEM,NINA AHMAD,84,35
Northumberland,Shamokin City 7,Auditor General,,REP,TIMOTHY DEFOOR,118,21
Northumberland,Shamokin City 7,Auditor General,,LIB,JENNIFER MOORE,9,6
Northumberland,Shamokin City 7,Auditor General,,GRN,OLIVIA FAISON,2,0
Northumberland,Shamokin City 7,Auditor General,,,Write-ins,0,0
Northumberland,Shamokin City 7,State Treasurer,,DEM,JOE TORSELLA,92,40
Northumberland,Shamokin City 7,State Treasurer,,REP,STACY L GARRITY,116,20
Northumberland,Shamokin City 7,State Treasurer,,LIB,JOE SOLOSKI,4,2
Northumberland,Shamokin City 7,State Treasurer,,GRN,TIMOTHY RUNKLE,2,0
Northumberland,Shamokin City 7,State Treasurer,,,Write-ins,0,0
Northumberland,Shamokin City 7,U.S. House,9,DEM,GARY WEGMAN,89,45
Northumberland,Shamokin City 7,U.S. House,9,REP,DAN MEUSER,126,18
Northumberland,Shamokin City 7,U.S. House,9,,Write-ins,0,0
Northumberland,Shamokin City 7,State Senate,27,DEM,MICHELLE SIEGEL,92,43
Northumberland,Shamokin City 7,State Senate,27,REP,JOHN R GORDNER,122,18
Northumberland,Shamokin City 7,State Senate,27,,Write-ins,0,0
Northumberland,Shamokin City 7,State House,107,REP,KURT A MASSER,153,34
Northumberland,Shamokin City 7,State House,107,LIB,RYAN BOURINSKI,59,26
Northumberland,Shamokin City 7,State House,107,,Write-ins,2,0
Northumberland,Shamokin City 8,Registered Voters,,,,156,
Northumberland,Shamokin City 8,Ballots Cast,,,,98,18
Northumberland,Shamokin City 8,Ballots Cast - Blank,,,,0,0
Northumberland,Shamokin City 8,President,,DEM,Joseph R. Biden,32,13
Northumberland,Shamokin City 8,President,,REP,Donald J. Trump,64,4
Northumberland,Shamokin City 8,President,,LIB,Jo Jorgensen,2,1
Northumberland,Shamokin City 8,President,,,Write-ins,0,0
Northumberland,Shamokin City 8,Attorney General,,DEM,JOSH SHAPIRO,43,15
Northumberland,Shamokin City 8,Attorney General,,REP,HEATHER HEIDELBAUGH,50,2
Northumberland,Shamokin City 8,Attorney General,,LIB,DANIEL WASSMER,3,1
Northumberland,Shamokin City 8,Attorney General,,GRN,RICHARD L WEISS,0,0
Northumberland,Shamokin City 8,Attorney General,,,Write-ins,0,0
Northumberland,Shamokin City 8,Auditor General,,DEM,NINA AHMAD,35,12
Northumberland,Shamokin City 8,Auditor General,,REP,TIMOTHY DEFOOR,59,5
Northumberland,Shamokin City 8,Auditor General,,LIB,JENNIFER MOORE,2,0
Northumberland,Shamokin City 8,Auditor General,,GRN,OLIVIA FAISON,0,0
Northumberland,Shamokin City 8,Auditor General,,,Write-ins,0,0
Northumberland,Shamokin City 8,State Treasurer,,DEM,JOE TORSELLA,36,14
Northumberland,Shamokin City 8,State Treasurer,,REP,STACY L GARRITY,58,3
Northumberland,Shamokin City 8,State Treasurer,,LIB,JOE SOLOSKI,2,0
Northumberland,Shamokin City 8,State Treasurer,,GRN,TIMOTHY RUNKLE,0,0
Northumberland,Shamokin City 8,State Treasurer,,,Write-ins,0,0
Northumberland,Shamokin City 8,U.S. House,9,DEM,GARY WEGMAN,29,11
Northumberland,Shamokin City 8,U.S. House,9,REP,DAN MEUSER,67,7
Northumberland,Shamokin City 8,U.S. House,9,,Write-ins,0,0
Northumberland,Shamokin City 8,State Senate,27,DEM,MICHELLE SIEGEL,31,10
Northumberland,Shamokin City 8,State Senate,27,REP,JOHN R GORDNER,65,8
Northumberland,Shamokin City 8,State Senate,27,,Write-ins,0,0
Northumberland,Shamokin City 8,State House,107,REP,KURT A MASSER,83,14
Northumberland,Shamokin City 8,State House,107,LIB,RYAN BOURINSKI,12,4
Northumberland,Shamokin City 8,State House,107,,Write-ins,0,0
Northumberland,West Cameron Township,Registered Voters,,,,333,
Northumberland,West Cameron Township,Ballots Cast,,,,277,31
Northumberland,West Cameron Township,Ballots Cast - Blank,,,,0,0
Northumberland,West Cameron Township,President,,DEM,Joseph R. Biden,33,14
Northumberland,West Cameron Township,President,,REP,Donald J. Trump,243,17
Northumberland,West Cameron Township,President,,LIB,Jo Jorgensen,1,0
Northumberland,West Cameron Township,President,,,Write-ins,0,0
Northumberland,West Cameron Township,Attorney General,,DEM,JOSH SHAPIRO,45,15
Northumberland,West Cameron Township,Attorney General,,REP,HEATHER HEIDELBAUGH,222,15
Northumberland,West Cameron Township,Attorney General,,LIB,DANIEL WASSMER,0,0
Northumberland,West Cameron Township,Attorney General,,GRN,RICHARD L WEISS,4,0
Northumberland,West Cameron Township,Attorney General,,,Write-ins,0,0
Northumberland,West Cameron Township,Auditor General,,DEM,NINA AHMAD,33,14
Northumberland,West Cameron Township,Auditor General,,REP,TIMOTHY DEFOOR,224,13
Northumberland,West Cameron Township,Auditor General,,LIB,JENNIFER MOORE,6,2
Northumberland,West Cameron Township,Auditor General,,GRN,OLIVIA FAISON,5,1
Northumberland,West Cameron Township,Auditor General,,,Write-ins,0,0
Northumberland,West Cameron Township,State Treasurer,,DEM,JOE TORSELLA,35,14
Northumberland,West Cameron Township,State Treasurer,,REP,STACY L GARRITY,226,15
Northumberland,West Cameron Township,State Treasurer,,LIB,JOE SOLOSKI,4,1
Northumberland,West Cameron Township,State Treasurer,,GRN,TIMOTHY RUNKLE,3,0
Northumberland,West Cameron Township,State Treasurer,,,Write-ins,0,0
Northumberland,West Cameron Township,U.S. House,12,DEM,LEE GRIFFIN,31,15
Northumberland,West Cameron Township,U.S. House,12,REP,FRED KELLER,239,15
Northumberland,West Cameron Township,U.S. House,12,,Write-ins,0,0
Northumberland,West Cameron Township,State Senate,27,DEM,MICHELLE SIEGEL,32,15
Northumberland,West Cameron Township,State Senate,27,REP,JOHN R GORDNER,240,15
Northumberland,West Cameron Township,State Senate,27,,Write-ins,0,0
Northumberland,West Cameron Township,State House,107,REP,KURT A MASSER,247,24
Northumberland,West Cameron Township,State House,107,LIB,RYAN BOURINSKI,21,4
Northumberland,West Cameron Township,State House,107,,Write-ins,0,0
Northumberland,Zerbe Township,Registered Voters,,,,1090,
Northumberland,Zerbe Township,Ballots Cast,,,,832,148
Northumberland,Zerbe Township,Ballots Cast - Blank,,,,0,0
Northumberland,Zerbe Township,President,,DEM,Joseph R. Biden,161,69
Northumberland,Zerbe Township,President,,REP,Donald J. Trump,651,77
Northumberland,Zerbe Township,President,,LIB,Jo Jorgensen,18,2
Northumberland,Zerbe Township,President,,,Write-ins,0,0
Northumberland,Zerbe Township,Attorney General,,DEM,JOSH SHAPIRO,209,77
Northumberland,Zerbe Township,Attorney General,,REP,HEATHER HEIDELBAUGH,583,66
Northumberland,Zerbe Township,Attorney General,,LIB,DANIEL WASSMER,17,0
Northumberland,Zerbe Township,Attorney General,,GRN,RICHARD L WEISS,5,0
Northumberland,Zerbe Township,Attorney General,,,Write-ins,0,0
Northumberland,Zerbe Township,Auditor General,,DEM,NINA AHMAD,166,64
Northumberland,Zerbe Township,Auditor General,,REP,TIMOTHY DEFOOR,609,71
Northumberland,Zerbe Township,Auditor General,,LIB,JENNIFER MOORE,31,8
Northumberland,Zerbe Township,Auditor General,,GRN,OLIVIA FAISON,6,1
Northumberland,Zerbe Township,Auditor General,,,Write-ins,0,0
Northumberland,Zerbe Township,State Treasurer,,DEM,JOE TORSELLA,175,69
Northumberland,Zerbe Township,State Treasurer,,REP,STACY L GARRITY,617,74
Northumberland,Zerbe Township,State Treasurer,,LIB,JOE SOLOSKI,20,1
Northumberland,Zerbe Township,State Treasurer,,GRN,TIMOTHY RUNKLE,4,1
Northumberland,Zerbe Township,State Treasurer,,,Write-ins,0,0
Northumberland,Zerbe Township,U.S. House,12,DEM,LEE GRIFFIN,166,69
Northumberland,Zerbe Township,U.S. House,12,REP,FRED KELLER,652,78
Northumberland,Zerbe Township,U.S. House,12,,Write-ins,1,0
Northumberland,Zerbe Township,State Senate,27,DEM,MICHELLE SIEGEL,170,67
Northumberland,Zerbe Township,State Senate,27,REP,JOHN R GORDNER,641,78
Northumberland,Zerbe Township,State Senate,27,,Write-ins,0,0
Northumberland,Zerbe Township,State House,107,REP,KURT A MASSER,715,114
Northumberland,Zerbe Township,State House,107,LIB,RYAN BOURINSKI,88,24
Northumberland,Zerbe Township,State House,107,,Write-ins,4,0
Northumberland,Delaware Township East,Registered Voters,,,,839,
Northumberland,Delaware Township East,Ballots Cast,,,,663,91
Northumberland,Delaware Township East,Ballots Cast - Blank,,,,0,0
Northumberland,Delaware Township East,President,,DEM,Joseph R. Biden,110,39
Northumberland,Delaware Township East,President,,REP,Donald J. Trump,541,48
Northumberland,Delaware Township East,President,,LIB,Jo Jorgensen,7,3
Northumberland,Delaware Township East,President,,,Write-ins,0,0
Northumberland,Delaware Township East,Attorney General,,DEM,JOSH SHAPIRO,111,36
Northumberland,Delaware Township East,Attorney General,,REP,HEATHER HEIDELBAUGH,521,47
Northumberland,Delaware Township East,Attorney General,,LIB,DANIEL WASSMER,10,4
Northumberland,Delaware Township East,Attorney General,,GRN,RICHARD L WEISS,3,0
Northumberland,Delaware Township East,Attorney General,,,Write-ins,0,0
Northumberland,Delaware Township East,Auditor General,,DEM,NINA AHMAD,93,32
Northumberland,Delaware Township East,Auditor General,,REP,TIMOTHY DEFOOR,524,48
Northumberland,Delaware Township East,Auditor General,,LIB,JENNIFER MOORE,24,5
Northumberland,Delaware Township East,Auditor General,,GRN,OLIVIA FAISON,6,2
Northumberland,Delaware Township East,Auditor General,,,Write-ins,0,0
Northumberland,Delaware Township East,State Treasurer,,DEM,JOE TORSELLA,101,31
Northumberland,Delaware Township East,State Treasurer,,REP,STACY L GARRITY,534,52
Northumberland,Delaware Township East,State Treasurer,,LIB,JOE SOLOSKI,12,5
Northumberland,Delaware Township East,State Treasurer,,GRN,TIMOTHY RUNKLE,2,0
Northumberland,Delaware Township East,State Treasurer,,,Write-ins,0,0
Northumberland,Delaware Township East,U.S. House,12,DEM,LEE GRIFFIN,97,37
Northumberland,Delaware Township East,U.S. House,12,REP,FRED KELLER,560,52
Northumberland,Delaware Township East,U.S. House,12,,Write-ins,0,0
Northumberland,Delaware Township East,State Senate,27,DEM,MICHELLE SIEGEL,103,35
Northumberland,Delaware Township East,State Senate,27,REP,JOHN R GORDNER,546,52
Northumberland,Delaware Township East,State Senate,27,,Write-ins,0,0
Northumberland,Delaware Township East,State House,108,REP,LYNDA J SCHLEGEL CULVER,620,79
Northumberland,Delaware Township East,State House,108,,Write-ins,7,1
Northumberland,Delaware Township South,Registered Voters,,,,664,
Northumberland,Delaware Township South,Ballots Cast,,,,559,114
Northumberland,Delaware Township South,Ballots Cast - Blank,,,,1,0
Northumberland,Delaware Township South,President,,DEM,Joseph R. Biden,146,70
Northumberland,Delaware Township South,President,,REP,Donald J. Trump,400,44
Northumberland,Delaware Township South,President,,LIB,Jo Jorgensen,8,0
Northumberland,Delaware Township South,President,,,Write-ins,0,0
Northumberland,Delaware Township South,Attorney General,,DEM,JOSH SHAPIRO,151,60
Northumberland,Delaware Township South,Attorney General,,REP,HEATHER HEIDELBAUGH,371,46
Northumberland,Delaware Township South,Attorney General,,LIB,DANIEL WASSMER,14,2
Northumberland,Delaware Township South,Attorney General,,GRN,RICHARD L WEISS,7,1
Northumberland,Delaware Township South,Attorney General,,,Write-ins,0,0
Northumberland,Delaware Township South,Auditor General,,DEM,NINA AHMAD,121,56
Northumberland,Delaware Township South,Auditor General,,REP,TIMOTHY DEFOOR,397,51
Northumberland,Delaware Township South,Auditor General,,LIB,JENNIFER MOORE,19,3
Northumberland,Delaware Township South,Auditor General,,GRN,OLIVIA FAISON,4,0
Northumberland,Delaware Township South,Auditor General,,,Write-ins,0,0
Northumberland,Delaware Township South,State Treasurer,,DEM,JOE TORSELLA,138,57
Northumberland,Delaware Township South,State Treasurer,,REP,STACY L GARRITY,393,49
Northumberland,Delaware Township South,State Treasurer,,LIB,JOE SOLOSKI,10,3
Northumberland,Delaware Township South,State Treasurer,,GRN,TIMOTHY RUNKLE,2,1
Northumberland,Delaware Township South,State Treasurer,,,Write-ins,0,0
Northumberland,Delaware Township South,U.S. House,12,DEM,LEE GRIFFIN,123,56
Northumberland,Delaware Township South,U.S. House,12,REP,FRED KELLER,419,52
Northumberland,Delaware Township South,U.S. House,12,,Write-ins,2,2
Northumberland,Delaware Township South,State Senate,27,DEM,MICHELLE SIEGEL,119,53
Northumberland,Delaware Township South,State Senate,27,REP,JOHN R GORDNER,425,56
Northumberland,Delaware Township South,State Senate,27,,Write-ins,0,0
Northumberland,Delaware Township South,State House,108,REP,LYNDA J SCHLEGEL CULVER,506,87
Northumberland,Delaware Township South,State House,108,,Write-ins,9,5
Northumberland,Delaware Township West,Registered Voters,,,,1316,
Northumberland,Delaware Township West,Ballots Cast,,,,973,198
Northumberland,Delaware Township West,Ballots Cast - Blank,,,,1,0
Northumberland,Delaware Township West,President,,DEM,Joseph R. Biden,213,119
Northumberland,Delaware Township West,President,,REP,Donald J. Trump,730,73
Northumberland,Delaware Township West,President,,LIB,Jo Jorgensen,21,6
Northumberland,Delaware Township West,President,,,Write-ins,1,0
Northumberland,Delaware Township West,Attorney General,,DEM,JOSH SHAPIRO,239,110
Northumberland,Delaware Township West,Attorney General,,REP,HEATHER HEIDELBAUGH,692,71
Northumberland,Delaware Township West,Attorney General,,LIB,DANIEL WASSMER,21,9
Northumberland,Delaware Township West,Attorney General,,GRN,RICHARD L WEISS,3,3
Northumberland,Delaware Township West,Attorney General,,,Write-ins,0,0
Northumberland,Delaware Township West,Auditor General,,DEM,NINA AHMAD,185,96
Northumberland,Delaware Township West,Auditor General,,REP,TIMOTHY DEFOOR,722,77
Northumberland,Delaware Township West,Auditor General,,LIB,JENNIFER MOORE,38,15
Northumberland,Delaware Township West,Auditor General,,GRN,OLIVIA FAISON,7,4
Northumberland,Delaware Township West,Auditor General,,,Write-ins,0,0
Northumberland,Delaware Township West,State Treasurer,,DEM,JOE TORSELLA,195,100
Northumberland,Delaware Township West,State Treasurer,,REP,STACY L GARRITY,723,80
Northumberland,Delaware Township West,State Treasurer,,LIB,JOE SOLOSKI,23,7
Northumberland,Delaware Township West,State Treasurer,,GRN,TIMOTHY RUNKLE,10,5
Northumberland,Delaware Township West,State Treasurer,,,Write-ins,0,0
Northumberland,Delaware Township West,U.S. House,12,DEM,LEE GRIFFIN,181,92
Northumberland,Delaware Township West,U.S. House,12,REP,FRED KELLER,778,102
Northumberland,Delaware Township West,U.S. House,12,,Write-ins,1,0
Northumberland,Delaware Township West,State Senate,27,DEM,MICHELLE SIEGEL,192,103
Northumberland,Delaware Township West,State Senate,27,REP,JOHN R GORDNER,753,90
Northumberland,Delaware Township West,State Senate,27,,Write-ins,0,0
Northumberland,Delaware Township West,State House,108,REP,LYNDA J SCHLEGEL CULVER,900,165
Northumberland,Delaware Township West,State House,108,,Write-ins,11,7
Northumberland,East Chillisquaque Township,Registered Voters,,,,439,
Northumberland,East Chillisquaque Township,Ballots Cast,,,,360,44
Northumberland,East Chillisquaque Township,Ballots Cast - Blank,,,,0,0
Northumberland,East Chillisquaque Township,President,,DEM,Joseph R. Biden,64,24
Northumberland,East Chillisquaque Township,President,,REP,Donald J. Trump,290,18
Northumberland,East Chillisquaque Township,President,,LIB,Jo Jorgensen,5,2
Northumberland,East Chillisquaque Township,President,,,Write-ins,1,0
Northumberland,East Chillisquaque Township,Attorney General,,DEM,JOSH SHAPIRO,67,21
Northumberland,East Chillisquaque Township,Attorney General,,REP,HEATHER HEIDELBAUGH,279,20
Northumberland,East Chillisquaque Township,Attorney General,,LIB,DANIEL WASSMER,5,1
Northumberland,East Chillisquaque Township,Attorney General,,GRN,RICHARD L WEISS,5,1
Northumberland,East Chillisquaque Township,Attorney General,,,Write-ins,1,0
Northumberland,East Chillisquaque Township,Auditor General,,DEM,NINA AHMAD,62,21
Northumberland,East Chillisquaque Township,Auditor General,,REP,TIMOTHY DEFOOR,279,20
Northumberland,East Chillisquaque Township,Auditor General,,LIB,JENNIFER MOORE,7,1
